sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,6.0,0.08,0.04,82.81075802449932,1541.0,75.5000001568089,671.0,82.0,1412.0,75.5000001568089,HARISS,101.0,58.0,172.0
2,Switzerland,1.5,6.0,0.08,0.04,94.10123263743782,3233.0,29.50000004807411,14.0,85.0,2307.0,29.50000004807411,HARISS,106.0,58.0,191.0
3,Switzerland,1.5,6.0,0.08,0.04,66.24416439843205,801.0,57.50000077459555,302.0,70.0,1179.0,57.50000077459555,HARISS,131.0,65.0,200.0
4,Switzerland,1.5,6.0,0.08,0.04,67.42983642672864,157.0,Inf,NaN,82.0,692.0,67.42983642672864,ICU,83.0,60.0,178.0
5,Switzerland,1.5,6.0,0.08,0.04,84.18299668344008,1127.0,82.50000009421643,954.0,81.0,812.0,81.0,AWW,109.0,59.0,182.0
6,Switzerland,1.5,6.0,0.08,0.04,16.845888928115407,3.0,61.500000809890274,739.0,71.0,2037.0,16.845888928115407,ICU,95.0,45.0,168.0
7,Switzerland,1.5,6.0,0.08,0.04,60.5896460610894,269.0,54.50000080284562,124.0,58.0,177.0,54.50000080284562,HARISS,94.0,66.0,198.0
8,Switzerland,1.5,6.0,0.08,0.04,83.67849811532724,600.0,75.50000070632753,247.0,87.0,892.0,75.50000070632753,HARISS,97.0,50.0,153.0
9,Switzerland,1.5,6.0,0.08,0.04,91.9252180383242,858.0,82.50000042493473,541.0,83.0,574.0,82.50000042493473,HARISS,97.0,75.0,195.0
10,Switzerland,1.5,6.0,0.08,0.04,90.72677180414591,1681.0,78.5000002712848,685.0,66.0,151.0,66.0,AWW,94.0,73.0,186.0
11,Switzerland,1.5,6.0,0.08,0.04,68.7674152349942,1664.0,47.50000038127886,246.0,71.0,2072.0,47.50000038127886,HARISS,88.0,56.0,198.0
12,Switzerland,1.5,6.0,0.08,0.04,82.98714762838341,871.0,Inf,NaN,79.0,534.0,79.0,AWW,102.0,66.0,188.0
13,Switzerland,1.5,6.0,0.08,0.04,87.33062988630874,2457.0,68.50000056953225,424.0,80.0,1215.0,68.50000056953225,HARISS,95.0,63.0,184.0
14,Switzerland,1.5,6.0,0.08,0.04,66.03122291935395,472.0,36.50000017110479,21.0,57.0,187.0,36.50000017110479,HARISS,91.0,55.0,202.0
15,Switzerland,1.5,6.0,0.08,0.04,22.204846451215296,0.0,71.50000088047672,109.0,75.0,176.0,22.204846451215296,ICU,95.0,57.0,196.0
16,Switzerland,1.5,6.0,0.08,0.04,46.81512618890872,9.0,Inf,NaN,57.0,39.0,46.81512618890872,ICU,96.0,50.0,212.0
17,Switzerland,1.5,6.0,0.08,0.04,41.25654590922279,7.0,85.50000042148315,1664.0,32.0,3.0,32.0,AWW,97.0,76.0,184.0
18,Switzerland,1.5,6.0,0.08,0.04,80.39390714564023,920.0,61.50000006476907,87.0,68.0,228.0,61.50000006476907,HARISS,101.0,60.0,193.0
19,Switzerland,1.5,6.0,0.08,0.04,92.70523205504774,1452.0,68.50000085395715,186.0,65.0,110.0,65.0,AWW,112.0,49.0,191.0
20,Switzerland,1.5,6.0,0.08,0.04,30.609370041270864,4.0,71.5000008866088,397.0,78.0,695.0,30.609370041270864,ICU,94.0,50.0,157.0
21,Switzerland,1.5,6.0,0.08,0.04,57.02320467928515,985.0,61.500000187361536,1508.0,70.0,3504.0,57.02320467928515,ICU,83.0,63.0,176.0
22,Switzerland,1.5,6.0,0.08,0.04,96.66637534030549,769.0,82.50000031967654,427.0,61.0,22.0,61.0,AWW,97.0,65.0,185.0
23,Switzerland,1.5,6.0,0.08,0.04,90.5358500431615,826.0,78.50000018404856,278.0,46.0,2.0,46.0,AWW,89.0,67.0,170.0
24,Switzerland,1.5,6.0,0.08,0.04,83.28969917508704,1749.0,78.50000089823622,1052.0,79.0,1112.0,78.50000089823622,HARISS,104.0,61.0,167.0
