sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,3.5,0.008,0.04,42.81609416593225,189951.0,29.50000073426448,2635.0,25.0,689.0,21.0,240.0,20.0,124.0,37.50000096252005,34078.0,17.500000962520048,25.0,AWW,21.0,AWW,20.0,AWW_escalation,2.523787e6,1.291489e6,2.131468e6
2,Switzerland,1.5,3.5,0.008,0.04,52.16698688730892,3.952813e6,33.50000064761911,7526.0,28.0,1059.0,31.0,3220.0,17.0,16.0,40.50000099354054,87653.0,23.50000099354054,28.0,AWW,31.0,AWW,17.0,AWW_escalation,2.524103e6,1.290753e6,2.136199e6
3,Switzerland,1.5,3.5,0.008,0.04,49.82759825905792,2.012361e6,33.50000082036949,7880.0,23.0,227.0,30.0,2438.0,7.0,0.0,30.50000093777616,2891.0,23.50000093777616,23.0,AWW,30.0,AWW,7.0,AWW_escalation,2.522378e6,1.291567e6,2.132499e6
4,Switzerland,1.5,3.5,0.008,0.04,51.72177989609644,3.963188e6,29.500000054549357,2202.0,24.0,487.0,30.0,2583.0,19.0,116.0,28.500000593262335,1755.0,9.500000593262335,24.0,AWW,29.500000054549357,HARISS,19.0,AWW_escalation,2.520658e6,1.291355e6,2.134941e6
5,Switzerland,1.5,3.5,0.008,0.04,47.64476128572031,1.01371e6,33.50000016543779,9107.0,24.0,489.0,29.0,2187.0,15.0,13.0,33.500000037553484,9107.0,18.500000037553484,24.0,AWW,29.0,AWW,15.0,AWW_escalation,2.52254e6,1.289684e6,2.135369e6
6,Switzerland,1.5,3.5,0.008,0.04,47.79859233333577,1.014573e6,40.50000049811528,89933.0,17.0,16.0,28.0,1071.0,17.0,16.0,36.50000013354098,22689.0,19.50000013354098,17.0,AWW,28.0,AWW,17.0,AWW_escalation,2.522565e6,1.289483e6,2.134866e6
7,Switzerland,1.5,3.5,0.008,0.04,43.76089367536327,254919.0,36.5000006850368,22078.0,26.0,442.0,31.0,3240.0,26.0,442.0,34.50000086436174,10879.0,8.500000864361738,26.0,AWW,31.0,AWW,26.0,AWW_escalation,2.520888e6,1.288969e6,2.135177e6
8,Switzerland,1.5,3.5,0.008,0.04,48.86976718730808,1.446227e6,36.50000037833732,23190.0,29.0,1867.0,30.0,2678.0,12.0,7.0,37.500000109673316,32437.0,25.500000109673316,29.0,AWW,30.0,AWW,12.0,AWW_escalation,2.524101e6,1.289947e6,2.135827e6
9,Switzerland,1.5,3.5,0.008,0.04,50.260330534512555,2.553652e6,36.50000066707965,22127.0,23.0,100.0,28.0,1082.0,19.0,6.0,40.50000034342897,89161.0,21.500000343428972,23.0,AWW,28.0,AWW,19.0,AWW_escalation,2.52224e6,1.291647e6,2.132932e6
10,Switzerland,1.5,3.5,0.008,0.04,46.79042681163419,714266.0,29.50000073987538,1776.0,24.0,130.0,27.0,820.0,8.0,0.0,33.50000015612058,7804.0,25.500000156120578,24.0,AWW,27.0,AWW,8.0,AWW_escalation,2.521656e6,1.290055e6,2.136683e6
11,Switzerland,1.5,3.5,0.008,0.04,45.69204746752218,514678.0,33.50000079648173,9227.0,25.0,511.0,31.0,4070.0,25.0,511.0,33.50000008009172,9227.0,8.500000080091723,25.0,AWW,31.0,AWW,25.0,AWW_escalation,2.523985e6,1.289755e6,2.131584e6
12,Switzerland,1.5,3.5,0.008,0.04,49.84112260891673,2.052899e6,40.500000095085795,92988.0,14.0,0.0,28.0,1298.0,10.0,0.0,33.5000001161674,8049.0,23.5000001161674,14.0,AWW,28.0,AWW,10.0,AWW_escalation,2.524138e6,1.289853e6,2.13356e6
13,Switzerland,1.5,3.5,0.008,0.04,45.80460678070906,515406.0,36.500000542661226,23374.0,22.0,73.0,28.0,1367.0,22.0,73.0,35.50000091622486,16486.0,13.500000916224863,22.0,AWW,28.0,AWW,22.0,AWW_escalation,2.518772e6,1.289788e6,2.13596e6
14,Switzerland,1.5,3.5,0.008,0.04,47.93533368280069,1.090252e6,36.50000080965113,25496.0,25.0,726.0,30.0,3047.0,6.0,0.0,34.50000062004246,13572.0,28.500000620042456,25.0,AWW,30.0,AWW,6.0,AWW_escalation,2.523342e6,1.293363e6,2.135579e6
15,Switzerland,1.5,3.5,0.008,0.04,43.887451425919025,268515.0,26.500000568299182,785.0,28.0,1422.0,29.0,1871.0,28.0,1422.0,35.50000057515736,16726.0,7.500000575157358,26.500000568299182,HARISS,26.500000568299182,HARISS,28.0,AWW_escalation,2.522771e6,1.290512e6,2.13514e6
16,Switzerland,1.5,3.5,0.008,0.04,49.5399939811073,1.996101e6,33.500000348072426,9456.0,23.0,471.0,24.0,572.0,3.0,0.0,28.50000031276895,2043.0,25.50000031276895,23.0,AWW,24.0,AWW,3.0,AWW_escalation,2.523392e6,1.29116e6,2.137154e6
17,Switzerland,1.5,3.5,0.008,0.04,50.711625303107844,2.81572e6,33.5000002497945,8170.0,27.0,886.0,28.0,1080.0,10.0,0.0,33.50000086650686,8170.0,23.50000086650686,27.0,AWW,28.0,AWW,10.0,AWW_escalation,2.519757e6,1.293385e6,2.133006e6
18,Switzerland,1.5,3.5,0.008,0.04,47.6935342583013,991675.0,33.50000097617299,7302.0,20.0,50.0,28.0,947.0,20.0,50.0,30.50000038087475,2841.0,10.500000380874749,20.0,AWW,28.0,AWW,20.0,AWW_escalation,2.519939e6,1.29076e6,2.135141e6
19,Switzerland,1.5,3.5,0.008,0.04,43.88979098469447,265391.0,33.50000099903836,8213.0,23.0,153.0,28.0,884.0,11.0,0.0,35.5000001014256,15849.0,24.5000001014256,23.0,AWW,28.0,AWW,11.0,AWW_escalation,2.523395e6,1.290219e6,2.13504e6
20,Switzerland,1.5,3.5,0.008,0.04,49.80556482394052,2.036083e6,33.50000016801708,7200.0,19.0,33.0,32.0,4160.0,19.0,33.0,33.500000792973665,7200.0,14.500000792973665,19.0,AWW,32.0,AWW,19.0,AWW_escalation,2.521294e6,1.291489e6,2.136354e6
21,Switzerland,1.5,3.5,0.008,0.04,48.20673567336476,1.288379e6,36.50000075044036,23318.0,27.0,733.0,30.0,2340.0,9.0,0.0,37.50000041279864,33042.0,28.50000041279864,27.0,AWW,30.0,AWW,9.0,AWW_escalation,2.522342e6,1.291278e6,2.136482e6
22,Switzerland,1.5,3.5,0.008,0.04,49.94512774909649,2.159003e6,26.50000071319069,814.0,25.0,501.0,30.0,2245.0,16.0,36.0,37.50000009569643,32218.0,21.50000009569643,25.0,AWW,26.50000071319069,HARISS,16.0,AWW_escalation,2.5205e6,1.29219e6,2.134082e6
23,Switzerland,1.5,3.5,0.008,0.04,51.65129711401459,3.942878e6,36.5000003387327,23479.0,26.0,513.0,27.0,884.0,16.0,0.0,27.500000244841406,1179.0,11.500000244841406,26.0,AWW,27.0,AWW,16.0,AWW_escalation,2.521695e6,1.290711e6,2.135112e6
24,Switzerland,1.5,3.5,0.008,0.04,51.83575601365018,3.955754e6,40.500000845490646,95639.0,27.0,1043.0,28.0,1585.0,27.0,1043.0,35.50000047581826,18345.0,8.500000475818261,27.0,AWW,28.0,AWW,27.0,AWW_escalation,2.522491e6,1.291043e6,2.136655e6
25,Switzerland,1.5,3.5,0.008,0.04,40.83472487481584,94201.0,33.500000145622245,8251.0,29.0,1728.0,32.0,4975.0,12.0,0.0,33.50000091952181,8251.0,21.50000091952181,29.0,AWW,32.0,AWW,12.0,AWW_escalation,2.524328e6,1.291029e6,2.135776e6
26,Switzerland,1.5,3.5,0.008,0.04,51.920530811683875,3.964555e6,40.50000029121551,93048.0,28.0,1073.0,29.0,1496.0,10.0,0.0,30.500000724491752,2560.0,20.500000724491752,28.0,AWW,29.0,AWW,10.0,AWW_escalation,2.521986e6,1.292144e6,2.133938e6
27,Switzerland,1.5,3.5,0.008,0.04,49.047496180507366,1.686278e6,33.500000963927924,8342.0,22.0,101.0,31.0,3337.0,4.0,0.0,19.500000589016654,46.0,15.500000589016654,22.0,AWW,31.0,AWW,4.0,AWW_escalation,2.523693e6,1.292308e6,2.136009e6
28,Switzerland,1.5,3.5,0.008,0.04,41.744911224803545,129751.0,40.50000004783524,88630.0,27.0,1019.0,28.0,1424.0,11.0,11.0,33.50000034416404,8450.0,22.500000344164043,27.0,AWW,28.0,AWW,11.0,AWW_escalation,2.521055e6,1.290551e6,2.136299e6
29,Switzerland,1.5,3.5,0.008,0.04,45.76987216776876,501158.0,36.50000060502346,20413.0,21.0,39.0,31.0,2599.0,19.0,19.0,37.50000013003258,28820.0,18.500000130032582,21.0,AWW,31.0,AWW,19.0,AWW_escalation,2.52041e6,1.290705e6,2.13327e6
30,Switzerland,1.5,3.5,0.008,0.04,50.80471522190287,2.852312e6,40.50000019192833,90200.0,21.0,45.0,27.0,759.0,16.0,14.0,34.50000023152476,11783.0,18.50000023152476,21.0,AWW,27.0,AWW,16.0,AWW_escalation,2.521317e6,1.292142e6,2.13414e6
31,Switzerland,1.5,3.5,0.008,0.04,44.056638837657985,302381.0,33.50000060864812,8261.0,25.0,962.0,26.0,1057.0,5.0,0.0,29.50000095228967,2431.0,24.50000095228967,25.0,AWW,26.0,AWW,5.0,AWW_escalation,2.523403e6,1.288366e6,2.134729e6
32,Switzerland,1.5,3.5,0.008,0.04,48.06947418766415,1.227772e6,36.5000000268045,22522.0,27.0,1092.0,32.0,4780.0,3.0,0.0,33.500000592151366,8204.0,30.500000592151366,27.0,AWW,32.0,AWW,3.0,AWW_escalation,2.51998e6,1.291153e6,2.138166e6
33,Switzerland,1.5,3.5,0.008,0.04,46.67907262484331,715668.0,22.50000061829163,197.0,24.0,302.0,28.0,1141.0,12.0,0.0,35.50000020103198,16014.0,23.50000020103198,22.50000061829163,HARISS,22.50000061829163,HARISS,12.0,AWW_escalation,2.523074e6,1.290584e6,2.133911e6
34,Switzerland,1.5,3.5,0.008,0.04,49.94573829181945,2.151981e6,40.50000092072547,88034.0,28.0,1002.0,29.0,1433.0,28.0,1002.0,40.50000008223778,88034.0,12.500000082237783,28.0,AWW,29.0,AWW,28.0,AWW_escalation,2.521635e6,1.289736e6,2.134613e6
35,Switzerland,1.5,3.5,0.008,0.04,43.67084637697852,263477.0,36.500000940209375,23496.0,24.0,276.0,31.0,4008.0,7.0,0.0,33.500000103092844,8850.0,26.500000103092844,24.0,AWW,31.0,AWW,7.0,AWW_escalation,2.523466e6,1.291025e6,2.13238e6
36,Switzerland,1.5,3.5,0.008,0.04,45.983275723288266,572259.0,36.50000080656057,22819.0,17.0,5.0,27.0,876.0,17.0,5.0,29.500000725010736,1961.0,12.500000725010736,17.0,AWW,27.0,AWW,17.0,AWW_escalation,2.521607e6,1.290365e6,2.133988e6
37,Switzerland,1.5,3.5,0.008,0.04,38.219772284114484,40178.0,33.50000040538523,8024.0,28.0,1472.0,29.0,1871.0,3.0,0.0,36.50000069943146,21681.0,33.50000069943146,28.0,AWW,29.0,AWW,3.0,AWW_escalation,2.524211e6,1.290987e6,2.134283e6
38,Switzerland,1.5,3.5,0.008,0.04,47.734280626122406,1.021748e6,26.500000358576575,739.0,25.0,413.0,30.0,2524.0,25.0,413.0,29.500000518440256,2191.0,4.500000518440256,25.0,AWW,26.500000358576575,HARISS,25.0,AWW_escalation,2.520352e6,1.289975e6,2.135128e6
39,Switzerland,1.5,3.5,0.008,0.04,48.13629155630106,1.255206e6,33.50000093859072,8465.0,30.0,2656.0,31.0,4099.0,30.0,2656.0,33.50000095529079,8465.0,3.500000955290787,30.0,AWW,31.0,AWW,30.0,AWW_escalation,2.521819e6,1.290225e6,2.133074e6
