sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
1,Switzerland,2.0,4.0,0.0016,0.04,67.0178974381728,72101.0,47.500000827045106,1941.0,45.0,1401.0,46.0,1664.0,19.0,105.0,35.50000006753371,393.0,16.500000067533712,45.0,AWW,46.0,AWW,19.0,AWW_escalation,187061.0,175416.0,390303.0
2,Switzerland,2.0,4.0,0.0016,0.04,68.64603223070063,88014.0,57.50000093724178,10416.0,51.0,3153.0,52.0,3753.0,51.0,3153.0,Inf,NaN,NaN,51.0,AWW,52.0,AWW,51.0,AWW_escalation,187152.0,174869.0,391385.0
3,Switzerland,2.0,4.0,0.0016,0.04,72.64882093508832,183833.0,54.50000085819214,6277.0,46.0,1450.0,52.0,4272.0,14.0,0.0,55.500000994739906,7191.0,41.500000994739906,46.0,AWW,52.0,AWW,14.0,AWW_escalation,187045.0,175705.0,391538.0
4,Switzerland,2.0,4.0,0.0016,0.04,74.71808285975997,272624.0,47.500000363462455,1927.0,33.0,196.0,61.0,23810.0,21.0,2.0,54.50000024916831,6828.0,33.50000024916831,33.0,AWW,47.500000363462455,HARISS,21.0,AWW_escalation,186768.0,175017.0,390601.0
5,Switzerland,2.0,4.0,0.0016,0.04,66.73059072350694,67357.0,50.50000003198867,3419.0,48.0,2377.0,55.0,8491.0,46.0,1428.0,55.50000072919554,9079.0,9.500000729195541,48.0,AWW,50.50000003198867,HARISS,46.0,AWW_escalation,187480.0,175491.0,390776.0
6,Switzerland,2.0,4.0,0.0016,0.04,64.4426749174022,42923.0,50.50000006730805,4059.0,43.0,1045.0,60.0,20398.0,3.0,0.0,54.50000094561748,7649.0,51.50000094561748,43.0,AWW,50.50000006730805,HARISS,3.0,AWW_escalation,186738.0,176053.0,391168.0
7,Switzerland,2.0,4.0,0.0016,0.04,73.59296250682843,228029.0,47.50000081706913,3147.0,50.0,4908.0,17.0,4.0,4.0,0.0,47.50000084302483,3147.0,43.50000084302483,47.50000081706913,HARISS,17.0,AWW,4.0,AWW_escalation,186888.0,175988.0,390870.0
8,Switzerland,2.0,4.0,0.0016,0.04,65.77040636258847,50407.0,54.50000084573425,6217.0,47.0,1436.0,56.0,8701.0,16.0,1.0,54.500000390825306,6217.0,38.500000390825306,47.0,AWW,54.50000084573425,HARISS,16.0,AWW_escalation,186313.0,174956.0,390515.0
9,Switzerland,2.0,4.0,0.0016,0.04,61.295808255184106,23984.0,54.50000097560267,6458.0,51.0,3271.0,51.0,3271.0,32.0,43.0,56.50000023010861,9766.0,24.50000023010861,51.0,AWW,51.0,AWW,32.0,AWW_escalation,186689.0,175764.0,390782.0
10,Switzerland,2.0,4.0,0.0016,0.04,65.01052920551666,49906.0,57.50000012204327,12438.0,45.0,1103.0,6.0,0.0,5.0,0.0,48.500000078796276,2010.0,43.500000078796276,45.0,AWW,6.0,AWW,5.0,AWW_escalation,186809.0,174813.0,390809.0
11,Switzerland,2.0,4.0,0.0016,0.04,78.87063789181254,591076.0,33.500000586410835,218.0,48.0,2368.0,60.0,21438.0,48.0,2368.0,Inf,NaN,NaN,33.500000586410835,HARISS,33.500000586410835,HARISS,48.0,AWW_escalation,187606.0,175590.0,390766.0
12,Switzerland,2.0,4.0,0.0016,0.04,62.01208982308931,26250.0,43.500000958883106,807.0,42.0,617.0,42.0,617.0,6.0,0.0,42.500000723864275,652.0,36.500000723864275,42.0,AWW,42.0,AWW,6.0,AWW_escalation,186745.0,175874.0,390826.0
13,Switzerland,2.0,4.0,0.0016,0.04,77.11269839443727,420232.0,47.500000121408696,2671.0,34.0,107.0,34.0,107.0,15.0,0.0,48.500000401590576,3070.0,33.500000401590576,34.0,AWW,34.0,AWW,15.0,AWW_escalation,187035.0,175844.0,390267.0
14,Switzerland,2.0,4.0,0.0016,0.04,60.63761189451727,21248.0,54.50000063936585,6756.0,47.0,1711.0,62.0,28039.0,11.0,0.0,54.500000852553995,6756.0,43.500000852553995,47.0,AWW,54.50000063936585,HARISS,11.0,AWW_escalation,186930.0,175191.0,390367.0
