sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
1,Switzerland,1.5,10.0,0.08,0.04,149.89119900187484,984.0,120.50000075773363,288.0,56.0,6.0,12.0,0.0,56.0,AWW,12.0,AWW,185.0,49.0,167.0
2,Switzerland,1.5,10.0,0.08,0.04,146.10016706024092,660.0,96.50000011842138,34.0,100.0,40.0,101.0,47.0,96.50000011842138,HARISS,96.50000011842138,HARISS,176.0,59.0,185.0
3,Switzerland,1.5,10.0,0.08,0.04,122.46913583877468,223.0,Inf,NaN,81.0,13.0,Inf,NaN,81.0,AWW,122.46913583877468,ICU,183.0,50.0,186.0
4,Switzerland,1.5,10.0,0.08,0.04,116.8311907512311,641.0,110.50000028709977,390.0,68.0,35.0,78.0,60.0,68.0,AWW,78.0,AWW,156.0,49.0,197.0
5,Switzerland,1.5,10.0,0.08,0.04,134.36425347851434,723.0,78.50000024369645,36.0,69.0,26.0,127.0,460.0,69.0,AWW,78.50000024369645,HARISS,173.0,65.0,204.0
6,Switzerland,1.5,10.0,0.08,0.04,94.82561215424839,478.0,96.50000084999542,482.0,60.0,38.0,109.0,1038.0,60.0,AWW,94.82561215424839,ICU,177.0,50.0,197.0
7,Switzerland,1.5,10.0,0.08,0.04,69.70112030616491,377.0,75.50000053483757,479.0,88.0,1163.0,104.0,3083.0,69.70112030616491,ICU,69.70112030616491,ICU,174.0,59.0,187.0
8,Switzerland,1.5,10.0,0.08,0.04,122.24815365264513,1346.0,92.50000032175747,253.0,85.0,146.0,112.0,756.0,85.0,AWW,92.50000032175747,HARISS,184.0,52.0,173.0
9,Switzerland,1.5,10.0,0.08,0.04,79.26843521320315,22.0,99.50000046445429,48.0,56.0,14.0,56.0,14.0,56.0,AWW,56.0,AWW,172.0,41.0,212.0
10,Switzerland,1.5,10.0,0.08,0.04,86.05096294034493,489.0,99.50000065144117,1146.0,49.0,36.0,139.0,12902.0,49.0,AWW,86.05096294034493,ICU,144.0,48.0,180.0
11,Switzerland,1.5,10.0,0.08,0.04,94.22658980494244,141.0,131.50000013281306,1164.0,52.0,8.0,52.0,8.0,52.0,AWW,52.0,AWW,159.0,58.0,193.0
12,Switzerland,1.5,10.0,0.08,0.04,120.91390739010338,907.0,110.50000025454142,479.0,78.0,76.0,88.0,132.0,78.0,AWW,88.0,AWW,160.0,69.0,178.0
13,Switzerland,1.5,10.0,0.08,0.04,101.91892456547242,62.0,127.50000013422978,196.0,63.0,12.0,134.0,309.0,63.0,AWW,101.91892456547242,ICU,169.0,52.0,204.0
14,Switzerland,1.5,10.0,0.08,0.04,145.81494091658138,878.0,Inf,NaN,77.0,19.0,108.0,143.0,77.0,AWW,108.0,AWW,177.0,40.0,189.0
15,Switzerland,1.5,10.0,0.08,0.04,104.48730770007383,1113.0,89.50000014882829,352.0,60.0,42.0,137.0,6909.0,60.0,AWW,89.50000014882829,HARISS,164.0,57.0,177.0
16,Switzerland,1.5,10.0,0.08,0.04,141.02630048373106,556.0,Inf,NaN,58.0,5.0,131.0,310.0,58.0,AWW,131.0,AWW,159.0,54.0,176.0
17,Switzerland,1.5,10.0,0.08,0.04,120.96874264645713,33.0,82.50000043949589,10.0,17.0,0.0,35.0,0.0,17.0,AWW,35.0,AWW,164.0,53.0,158.0
18,Switzerland,1.5,10.0,0.08,0.04,109.01750669962183,850.0,82.50000053471739,170.0,39.0,10.0,112.0,932.0,39.0,AWW,82.50000053471739,HARISS,163.0,62.0,206.0
19,Switzerland,1.5,10.0,0.08,0.04,65.26884554143443,331.0,78.50000036780509,622.0,96.0,2057.0,36.0,29.0,65.26884554143443,ICU,36.0,AWW,160.0,46.0,205.0
