sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
467,Switzerland,2.0,4.0,0.08,0.04,48.41994514153733,2137.0,33.50000028583296,68.0,24.0,8.0,24.0,8.0,24.0,AWW,24.0,AWW,5060.0,4850.0,10725.0
468,Switzerland,2.0,4.0,0.08,0.04,54.31742016580624,1969.0,54.50000042916889,2043.0,22.0,5.0,30.0,15.0,22.0,AWW,30.0,AWW,5019.0,4821.0,10611.0
469,Switzerland,2.0,4.0,0.08,0.04,35.920938026392676,1584.0,19.500000269766584,58.0,27.0,224.0,33.0,797.0,19.500000269766584,HARISS,19.500000269766584,HARISS,5098.0,4795.0,10612.0
470,Switzerland,2.0,4.0,0.08,0.04,47.53471710735177,5516.0,47.50000013542515,5477.0,19.0,3.0,30.0,127.0,19.0,AWW,30.0,AWW,5002.0,4799.0,10611.0
471,Switzerland,2.0,4.0,0.08,0.04,31.63817136258638,651.0,26.500000604787623,208.0,16.0,20.0,25.0,158.0,16.0,AWW,25.0,AWW,4838.0,4767.0,10811.0
472,Switzerland,2.0,4.0,0.08,0.04,30.39918908826006,140.0,40.50000055124105,1147.0,31.0,152.0,32.0,183.0,30.39918908826006,ICU,30.39918908826006,ICU,5102.0,4787.0,10725.0
473,Switzerland,2.0,4.0,0.08,0.04,55.320805218676966,423.0,57.50000045720799,683.0,24.0,4.0,33.0,7.0,24.0,AWW,33.0,AWW,5076.0,4794.0,10894.0
474,Switzerland,2.0,4.0,0.08,0.04,30.75194928109001,430.0,40.50000016337305,3424.0,23.0,73.0,24.0,103.0,23.0,AWW,24.0,AWW,5076.0,4841.0,10760.0
475,Switzerland,2.0,4.0,0.08,0.04,25.191722435169435,233.0,33.500000726766025,1291.0,18.0,50.0,38.0,3360.0,18.0,AWW,25.191722435169435,ICU,5080.0,4782.0,10772.0
476,Switzerland,2.0,4.0,0.08,0.04,31.235788791119482,55.0,47.50000054103084,1747.0,25.0,20.0,33.0,67.0,25.0,AWW,31.235788791119482,ICU,4979.0,4902.0,10614.0
