sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
663,Switzerland,1.5,4.0,0.08,0.04,49.551569213760416,1564.0,50.50000082453423,1837.0,47.0,1062.0,47.0,1062.0,47.0,AWW,47.0,AWW,975.0,988.0,2992.0
664,Switzerland,1.5,4.0,0.08,0.04,54.965360333957115,884.0,64.50000008739705,3523.0,34.0,17.0,47.0,273.0,34.0,AWW,47.0,AWW,1025.0,1024.0,3033.0
665,Switzerland,1.5,4.0,0.08,0.04,79.55698347071419,10128.0,61.50000058452578,633.0,38.0,3.0,55.0,190.0,38.0,AWW,55.0,AWW,945.0,1036.0,2996.0
666,Switzerland,1.5,4.0,0.08,0.04,50.526783705361574,273.0,54.5000007899182,533.0,47.0,148.0,38.0,34.0,47.0,AWW,38.0,AWW,953.0,1017.0,3048.0
667,Switzerland,1.5,4.0,0.08,0.04,67.52099733958377,3450.0,54.50000058913132,492.0,19.0,0.0,53.0,387.0,19.0,AWW,53.0,AWW,938.0,1066.0,2975.0
668,Switzerland,1.5,4.0,0.08,0.04,48.93031054876091,1270.0,54.500000675642305,2901.0,39.0,272.0,43.0,510.0,39.0,AWW,43.0,AWW,1005.0,1084.0,3013.0
669,Switzerland,1.5,4.0,0.08,0.04,83.10568929024464,6421.0,64.5000003060013,500.0,19.0,0.0,24.0,0.0,19.0,AWW,24.0,AWW,947.0,1020.0,3029.0
670,Switzerland,1.5,4.0,0.08,0.04,50.90852557538305,922.0,57.50000033035018,2438.0,44.0,294.0,58.0,2599.0,44.0,AWW,50.90852557538305,ICU,1036.0,1077.0,2946.0
671,Switzerland,1.5,4.0,0.08,0.04,60.629932359406155,826.0,50.50000069708556,146.0,37.0,6.0,59.0,644.0,37.0,AWW,50.50000069708556,HARISS,1005.0,1135.0,2981.0
672,Switzerland,1.5,4.0,0.08,0.04,69.80035180362334,5762.0,22.50000006466485,6.0,42.0,95.0,48.0,236.0,22.50000006466485,HARISS,22.50000006466485,HARISS,946.0,1072.0,2950.0
673,Switzerland,1.5,4.0,0.08,0.04,42.15494300217683,58.0,57.50000045342751,490.0,36.0,21.0,37.0,29.0,36.0,AWW,37.0,AWW,1011.0,1040.0,3033.0
