sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
227,Switzerland,1.5,3.5,0.0016,0.04,49.717401091158756,1.99896e6,40.50000023744808,87425.0,25.0,308.0,33.0,6100.0,21.0,19.0,21.50000092095422,19.0,0.5000009209542213,25.0,AWW,33.0,AWW,21.0,AWW_escalation,2.519815e6,1.290261e6,2.133098e6
228,Switzerland,1.5,3.5,0.0016,0.04,46.99703674058639,822569.0,33.5000004909995,8573.0,33.0,6981.0,34.0,10231.0,20.0,130.0,33.500000488186494,8573.0,13.500000488186494,33.0,AWW,33.5000004909995,HARISS,20.0,AWW_escalation,2.523299e6,1.290122e6,2.13528e6
229,Switzerland,1.5,3.5,0.0016,0.04,45.57156297532239,505202.0,26.5000002085913,599.0,35.0,14139.0,36.0,20136.0,16.0,3.0,36.500000562392174,23803.0,20.500000562392174,26.5000002085913,HARISS,26.5000002085913,HARISS,16.0,AWW_escalation,2.522531e6,1.290018e6,2.133041e6
230,Switzerland,1.5,3.5,0.0016,0.04,44.880958228061864,373114.0,36.50000033609937,21943.0,26.0,422.0,27.0,765.0,8.0,0.0,34.50000090924933,11092.0,26.50000090924933,26.0,AWW,27.0,AWW,8.0,AWW_escalation,2.520879e6,1.290075e6,2.132837e6
231,Switzerland,1.5,3.5,0.0016,0.04,51.767108373714464,3.950821e6,36.50000012773392,21259.0,26.0,659.0,35.0,12840.0,26.0,659.0,40.50000063112373,86998.0,14.500000631123733,26.0,AWW,35.0,AWW,26.0,AWW_escalation,2.522125e6,1.290273e6,2.137227e6
232,Switzerland,1.5,3.5,0.0016,0.04,50.435707850492626,2.580937e6,36.500000216413795,22831.0,27.0,925.0,36.0,19154.0,12.0,40.0,35.500000679836326,16205.0,23.500000679836326,27.0,AWW,36.0,AWW,12.0,AWW_escalation,2.52186e6,1.290017e6,2.133613e6
233,Switzerland,1.5,3.5,0.0016,0.04,49.262400211549604,1.822162e6,40.50000091366408,88976.0,25.0,341.0,30.0,2235.0,25.0,341.0,33.50000062954498,8201.0,8.500000629544978,25.0,AWW,30.0,AWW,25.0,AWW_escalation,2.521733e6,1.291569e6,2.136626e6
234,Switzerland,1.5,3.5,0.0016,0.04,50.93645307302631,3.000861e6,40.500000396237716,86971.0,30.0,1893.0,33.0,6099.0,30.0,1893.0,33.50000049847393,7394.0,3.5000004984739306,30.0,AWW,33.0,AWW,30.0,AWW_escalation,2.523718e6,1.291e6,2.135144e6
235,Switzerland,1.5,3.5,0.0016,0.04,49.253730136734156,1.79769e6,36.5000008594207,22173.0,29.0,1940.0,37.0,26091.0,9.0,0.0,29.50000030948598,2207.0,20.50000030948598,29.0,AWW,36.5000008594207,HARISS,9.0,AWW_escalation,2.519783e6,1.289132e6,2.134818e6
236,Switzerland,1.5,3.5,0.0016,0.04,49.01804173843061,1.659777e6,33.500000017602325,7664.0,27.0,740.0,28.0,1072.0,27.0,740.0,33.50000053559184,7664.0,6.5000005355918375,27.0,AWW,28.0,AWW,27.0,AWW_escalation,2.521894e6,1.29151e6,2.132029e6
237,Switzerland,1.5,3.5,0.0016,0.04,34.96342557133033,12632.0,36.50000051316623,22169.0,31.0,2964.0,34.0,9373.0,31.0,2964.0,34.50000036446527,11100.0,3.500000364465272,31.0,AWW,34.0,AWW,31.0,AWW_escalation,2.522493e6,1.292609e6,2.13552e6
238,Switzerland,1.5,3.5,0.0016,0.04,49.67399351017535,1.998995e6,36.50000006024223,22727.0,29.0,1678.0,34.0,9365.0,6.0,0.0,33.50000090856206,7991.0,27.500000908562058,29.0,AWW,34.0,AWW,6.0,AWW_escalation,2.525537e6,1.290098e6,2.133799e6
239,Switzerland,1.5,3.5,0.0016,0.04,49.947220074461015,2.165658e6,26.500000803491773,725.0,26.0,627.0,35.0,13839.0,19.0,42.0,30.50000097909318,3001.0,11.50000097909318,26.0,AWW,26.500000803491773,HARISS,19.0,AWW_escalation,2.522355e6,1.292428e6,2.135846e6
240,Switzerland,1.5,3.5,0.0016,0.04,40.82300406125104,89267.0,40.50000063873425,85102.0,25.0,251.0,31.0,2790.0,19.0,36.0,35.50000062989992,15146.0,16.500000629899922,25.0,AWW,31.0,AWW,19.0,AWW_escalation,2.522805e6,1.289612e6,2.135131e6
241,Switzerland,1.5,3.5,0.0016,0.04,43.63178348441858,262131.0,36.50000046347945,23762.0,24.0,192.0,35.0,14737.0,12.0,0.0,40.50000070828442,90638.0,28.500000708284418,24.0,AWW,35.0,AWW,12.0,AWW_escalation,2.523302e6,1.288743e6,2.136085e6
242,Switzerland,1.5,3.5,0.0016,0.04,50.784917548901355,2.836345e6,29.500000126588056,2228.0,24.0,379.0,32.0,4977.0,24.0,379.0,30.50000078932876,3296.0,6.500000789328759,24.0,AWW,29.500000126588056,HARISS,24.0,AWW_escalation,2.522289e6,1.290063e6,2.135933e6
243,Switzerland,1.5,3.5,0.0016,0.04,46.901379215555274,752416.0,33.50000008000364,8665.0,25.0,483.0,35.0,14083.0,25.0,483.0,33.50000088294076,8665.0,8.50000088294076,25.0,AWW,33.50000008000364,HARISS,25.0,AWW_escalation,2.5195e6,1.289608e6,2.134806e6
244,Switzerland,1.5,3.5,0.0016,0.04,51.84968998552346,3.974596e6,33.50000075749235,7242.0,28.0,1070.0,34.0,8680.0,7.0,18.0,22.50000065082101,310.0,15.500000650821011,28.0,AWW,33.50000075749235,HARISS,7.0,AWW_escalation,2.525172e6,1.292357e6,2.135782e6
245,Switzerland,1.5,3.5,0.0016,0.04,41.714470389718215,132978.0,29.500000573835543,2166.0,32.0,4973.0,33.0,7245.0,32.0,4973.0,Inf,NaN,NaN,29.500000573835543,HARISS,29.500000573835543,HARISS,32.0,AWW_escalation,2.521428e6,1.289662e6,2.136607e6
246,Switzerland,1.5,3.5,0.0016,0.04,43.84258929193286,264267.0,36.50000019448031,22913.0,24.0,330.0,29.0,1773.0,24.0,330.0,33.50000018406982,8499.0,9.500000184069819,24.0,AWW,29.0,AWW,24.0,AWW_escalation,2.523627e6,1.290891e6,2.136874e6
247,Switzerland,1.5,3.5,0.0016,0.04,40.76357650779809,84791.0,40.50000060114659,81530.0,28.0,804.0,35.0,11313.0,28.0,804.0,28.500000020447143,1054.0,0.5000000204471426,28.0,AWW,35.0,AWW,28.0,AWW_escalation,2.522213e6,1.29043e6,2.13494e6
248,Switzerland,1.5,3.5,0.0016,0.04,50.04888133250152,2.390827e6,33.500000449695676,8537.0,32.0,4779.0,37.0,28316.0,32.0,4779.0,33.50000098207361,8537.0,1.5000009820736082,32.0,AWW,33.500000449695676,HARISS,32.0,AWW_escalation,2.5254e6,1.28983e6,2.133212e6
249,Switzerland,1.5,3.5,0.0016,0.04,37.94995336110613,33465.0,33.5000009486259,7464.0,28.0,1123.0,36.0,17645.0,20.0,36.0,33.50000047977262,7464.0,13.500000479772623,28.0,AWW,33.5000009486259,HARISS,20.0,AWW_escalation,2.522726e6,1.288786e6,2.13512e6
250,Switzerland,1.5,3.5,0.0016,0.04,41.98273056523607,145616.0,36.50000018673688,22665.0,34.0,9607.0,37.0,26548.0,23.0,290.0,37.50000012106639,31636.0,14.500000121066392,34.0,AWW,36.50000018673688,HARISS,23.0,AWW_escalation,2.523714e6,1.291319e6,2.134412e6
