sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
1,Switzerland,2.0,4.0,0.08,0.04,35.878212121623804,878.0,36.500000560743814,989.0,35.0,734.0,35.0,AWW,2145.0,1917.0,4420.0
2,Switzerland,2.0,4.0,0.08,0.04,43.743035097476984,2718.0,36.500000341103465,549.0,24.0,29.0,24.0,AWW,1996.0,1975.0,4286.0
3,Switzerland,2.0,4.0,0.08,0.04,44.87937305346464,1332.0,47.50000004568303,2288.0,37.0,278.0,37.0,AWW,2102.0,1974.0,4385.0
4,Switzerland,2.0,4.0,0.08,0.04,36.0826698178996,552.0,36.500000855873424,618.0,38.0,889.0,36.0826698178996,ICU,2079.0,1890.0,4438.0
5,Switzerland,2.0,4.0,0.08,0.04,57.50466169697844,1146.0,Inf,NaN,36.0,16.0,36.0,AWW,2164.0,1900.0,4425.0
6,Switzerland,2.0,4.0,0.08,0.04,42.232942855738166,2721.0,43.500000757062544,3584.0,38.0,1089.0,38.0,AWW,2089.0,1887.0,4318.0
7,Switzerland,2.0,4.0,0.08,0.04,51.26822688270208,4850.0,40.500000608792526,487.0,37.0,232.0,37.0,AWW,2016.0,2004.0,4327.0
8,Switzerland,2.0,4.0,0.08,0.04,58.076930173576976,1601.0,Inf,NaN,34.0,12.0,34.0,AWW,2080.0,1940.0,4386.0
9,Switzerland,2.0,4.0,0.08,0.04,42.45660514259901,336.0,54.5000001073061,4506.0,33.0,37.0,33.0,AWW,2028.0,2022.0,4305.0
10,Switzerland,2.0,4.0,0.08,0.04,47.66046340489485,1262.0,50.50000043373048,2314.0,41.0,281.0,41.0,AWW,2185.0,1939.0,4298.0
11,Switzerland,2.0,4.0,0.08,0.04,44.669758031229854,2681.0,40.50000062623916,1109.0,12.0,0.0,12.0,AWW,2007.0,1885.0,4372.0
12,Switzerland,2.0,4.0,0.08,0.04,39.308573175226385,342.0,47.50000038680301,1791.0,41.0,451.0,39.308573175226385,ICU,2029.0,1924.0,4288.0
13,Switzerland,2.0,4.0,0.08,0.04,51.19764043492684,2259.0,47.50000074156242,981.0,37.0,122.0,37.0,AWW,2023.0,1963.0,4263.0
14,Switzerland,2.0,4.0,0.08,0.04,34.130362241959695,49.0,54.50000093391236,3852.0,32.0,31.0,32.0,AWW,2114.0,1888.0,4345.0
15,Switzerland,2.0,4.0,0.08,0.04,48.12963581682112,250.0,Inf,NaN,6.0,0.0,6.0,AWW,2065.0,1841.0,4225.0
16,Switzerland,2.0,4.0,0.08,0.04,42.07103091308519,2479.0,47.50000043587698,7820.0,34.0,409.0,34.0,AWW,2148.0,1943.0,4307.0
17,Switzerland,2.0,4.0,0.08,0.04,41.290935702966955,1606.0,33.50000032210632,298.0,34.0,321.0,33.50000032210632,HARISS,2074.0,1998.0,4282.0
18,Switzerland,2.0,4.0,0.08,0.04,51.95276590644605,1418.0,Inf,NaN,39.0,74.0,39.0,AWW,2035.0,1909.0,4346.0
19,Switzerland,2.0,4.0,0.08,0.04,22.44802930606171,405.0,26.500000817250317,785.0,37.0,3606.0,22.44802930606171,ICU,2161.0,1923.0,4413.0
20,Switzerland,2.0,4.0,0.08,0.04,49.14174015519447,1818.0,47.50000011275885,1229.0,31.0,35.0,31.0,AWW,2072.0,1949.0,4296.0
21,Switzerland,2.0,4.0,0.08,0.04,38.05154043549928,1854.0,36.500000595312116,1274.0,35.0,911.0,35.0,AWW,2059.0,1954.0,4373.0
22,Switzerland,2.0,4.0,0.08,0.04,37.80208062119312,205.0,47.50000081797389,1565.0,29.0,38.0,29.0,AWW,2085.0,1916.0,4296.0
23,Switzerland,2.0,4.0,0.08,0.04,49.115798296354384,624.0,40.500000656654244,271.0,38.0,207.0,38.0,AWW,2044.0,1916.0,4265.0
24,Switzerland,2.0,4.0,0.08,0.04,34.343158043618224,375.0,40.50000006296175,1168.0,37.0,588.0,34.343158043618224,ICU,2070.0,1975.0,4425.0
25,Switzerland,2.0,4.0,0.08,0.04,50.65376014879681,1141.0,43.50000086918832,258.0,26.0,10.0,26.0,AWW,2106.0,1946.0,4331.0
26,Switzerland,2.0,4.0,0.08,0.04,55.298922826943404,2353.0,43.50000017151653,217.0,35.0,49.0,35.0,AWW,2069.0,1892.0,4294.0
27,Switzerland,2.0,4.0,0.08,0.04,36.07707370612843,197.0,50.50000074120417,3909.0,25.0,17.0,25.0,AWW,2120.0,1997.0,4333.0
28,Switzerland,2.0,4.0,0.08,0.04,19.667642243523428,458.0,19.500000107786352,455.0,41.0,27255.0,19.500000107786352,HARISS,2107.0,1939.0,4335.0
29,Switzerland,2.0,4.0,0.08,0.04,50.565202606564114,1195.0,54.50000011337557,2718.0,31.0,25.0,31.0,AWW,2008.0,1941.0,4387.0
30,Switzerland,2.0,4.0,0.08,0.04,51.4647875184692,820.0,43.50000023971857,157.0,33.0,33.0,33.0,AWW,2100.0,1963.0,4268.0
31,Switzerland,2.0,4.0,0.08,0.04,47.848706094571654,1195.0,43.500000591230545,473.0,30.0,27.0,30.0,AWW,2102.0,1902.0,4274.0
32,Switzerland,2.0,4.0,0.08,0.04,46.24737395286271,1090.0,50.500000872103755,2702.0,27.0,17.0,27.0,AWW,2163.0,1959.0,4332.0
33,Switzerland,2.0,4.0,0.08,0.04,54.843179329600126,4797.0,40.50000066284843,233.0,37.0,111.0,37.0,AWW,2099.0,1881.0,4342.0
34,Switzerland,2.0,4.0,0.08,0.04,46.50332551910628,3644.0,43.500000079433256,1809.0,21.0,11.0,21.0,AWW,2089.0,1942.0,4293.0
35,Switzerland,2.0,4.0,0.08,0.04,29.49504650531296,435.0,33.50000029485045,1063.0,33.0,946.0,29.49504650531296,ICU,2085.0,1948.0,4360.0
36,Switzerland,2.0,4.0,0.08,0.04,36.001131758674866,895.0,40.50000078436155,2420.0,23.0,56.0,23.0,AWW,2113.0,1970.0,4286.0
37,Switzerland,2.0,4.0,0.08,0.04,29.355906163787832,106.0,36.50000025560805,455.0,29.0,96.0,29.0,AWW,2061.0,2029.0,4497.0
38,Switzerland,2.0,4.0,0.08,0.04,37.04109031020935,3523.0,29.500000535935566,687.0,36.0,2764.0,29.500000535935566,HARISS,2105.0,2010.0,4274.0
39,Switzerland,2.0,4.0,0.08,0.04,51.148738828871934,1392.0,50.50000035173674,1202.0,38.0,102.0,38.0,AWW,2072.0,2072.0,4450.0
40,Switzerland,2.0,4.0,0.08,0.04,44.682773236405644,560.0,47.50000074023865,1075.0,38.0,155.0,38.0,AWW,2100.0,1920.0,4362.0
41,Switzerland,2.0,4.0,0.08,0.04,20.777770124513648,1684.0,19.50000035577704,1436.0,24.0,2533.0,19.50000035577704,HARISS,2154.0,1946.0,4372.0
42,Switzerland,2.0,4.0,0.08,0.04,44.76523404927394,1831.0,47.500000084770896,3310.0,31.0,89.0,31.0,AWW,2180.0,1964.0,4250.0
43,Switzerland,2.0,4.0,0.08,0.04,36.97074052497715,2489.0,36.500000569704106,2234.0,26.0,64.0,26.0,AWW,2065.0,1953.0,4309.0
44,Switzerland,2.0,4.0,0.08,0.04,41.451928190551435,755.0,50.500000614612105,5718.0,35.0,172.0,35.0,AWW,2058.0,1916.0,4412.0
45,Switzerland,2.0,4.0,0.08,0.04,44.436208479969025,232.0,Inf,NaN,32.0,8.0,32.0,AWW,2094.0,1928.0,4199.0
46,Switzerland,2.0,4.0,0.08,0.04,34.12982110799333,1421.0,40.500000947574094,5752.0,31.0,655.0,31.0,AWW,2154.0,1968.0,4282.0
47,Switzerland,2.0,4.0,0.08,0.04,9.118660842210799,0.0,Inf,NaN,26.0,1.0,9.118660842210799,ICU,2128.0,1955.0,4243.0
