sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
106,Switzerland,1.5,4.0,0.08,0.04,50.35740001190615,269.0,57.50000052055206,743.0,20.0,1.0,20.0,AWW,955.0,1050.0,3010.0
107,Switzerland,1.5,4.0,0.08,0.04,30.72981003042639,164.0,33.50000011138933,180.0,61.0,184.0,30.72981003042639,ICU,974.0,1044.0,2982.0
108,Switzerland,1.5,4.0,0.08,0.04,51.437350109176776,66.0,78.5000008711403,3297.0,21.0,0.0,21.0,AWW,979.0,1051.0,3124.0
109,Switzerland,1.5,4.0,0.08,0.04,31.832722906580422,16.0,78.5000006014443,1431.0,34.0,16.0,31.832722906580422,ICU,942.0,1055.0,3000.0
110,Switzerland,1.5,4.0,0.08,0.04,64.17241664601532,227.0,61.50000025154966,150.0,38.0,8.0,38.0,AWW,1036.0,1070.0,3087.0
111,Switzerland,1.5,4.0,0.08,0.04,20.789926552699562,0.0,Inf,NaN,48.0,55.0,20.789926552699562,ICU,965.0,1026.0,2969.0
112,Switzerland,1.5,4.0,0.08,0.04,40.13228440980403,42.0,57.500000439487565,687.0,36.0,22.0,36.0,AWW,951.0,1070.0,3108.0
113,Switzerland,1.5,4.0,0.08,0.04,64.36167503025831,3062.0,50.50000002300563,373.0,59.0,1370.0,50.50000002300563,HARISS,983.0,1003.0,3004.0
114,Switzerland,1.5,4.0,0.08,0.04,27.325522799004606,88.0,Inf,NaN,52.0,193.0,27.325522799004606,ICU,959.0,1008.0,2948.0
115,Switzerland,1.5,4.0,0.08,0.04,54.96851197465181,297.0,57.50000060588066,434.0,50.0,139.0,50.0,AWW,991.0,1080.0,3027.0
116,Switzerland,1.5,4.0,0.08,0.04,78.08122517999108,3388.0,75.50000097483209,2405.0,57.0,173.0,57.0,AWW,944.0,1042.0,2899.0
117,Switzerland,1.5,4.0,0.08,0.04,51.52106655219528,918.0,33.50000018144037,52.0,44.0,325.0,33.50000018144037,HARISS,979.0,1126.0,3016.0
118,Switzerland,1.5,4.0,0.08,0.04,43.888613643353125,160.0,50.5000003024764,460.0,53.0,658.0,43.888613643353125,ICU,991.0,1042.0,2931.0
119,Switzerland,1.5,4.0,0.08,0.04,72.31869464503804,726.0,75.50000078129594,1168.0,58.0,101.0,58.0,AWW,990.0,1085.0,2963.0
120,Switzerland,1.5,4.0,0.08,0.04,50.8333810928077,511.0,57.50000036599614,1401.0,54.0,808.0,50.8333810928077,ICU,970.0,1068.0,3001.0
121,Switzerland,1.5,4.0,0.08,0.04,45.043908455453284,1030.0,33.50000044955272,182.0,55.0,4793.0,33.50000044955272,HARISS,999.0,1072.0,2927.0
122,Switzerland,1.5,4.0,0.08,0.04,28.92075400247379,86.0,40.500000551699934,451.0,52.0,2510.0,28.92075400247379,ICU,966.0,965.0,2992.0
123,Switzerland,1.5,4.0,0.08,0.04,70.70623068344332,1962.0,68.50000009689354,1408.0,49.0,98.0,49.0,AWW,1005.0,1051.0,3015.0
124,Switzerland,1.5,4.0,0.08,0.04,66.02553199089039,1339.0,57.500000964310686,398.0,63.0,873.0,57.500000964310686,HARISS,934.0,1021.0,3010.0
125,Switzerland,1.5,4.0,0.08,0.04,78.32666636506292,1695.0,75.50000000105918,1073.0,48.0,45.0,48.0,AWW,916.0,1025.0,2950.0
126,Switzerland,1.5,4.0,0.08,0.04,41.849941145697706,230.0,47.5000002668685,515.0,49.0,643.0,41.849941145697706,ICU,1034.0,1072.0,2873.0
127,Switzerland,1.5,4.0,0.08,0.04,10.232407186247173,4.0,36.500000570179,129.0,57.0,1924.0,10.232407186247173,ICU,972.0,1050.0,3079.0
