sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
67,Switzerland,2.0,4.0,0.008,0.04,69.293306857546,105249.0,40.50000048928608,1475.0,32.0,350.0,50.0,4820.0,5.0,1.0,44.50000057933117,2442.0,39.50000057933117,32.0,AWW,40.50000048928608,HARISS,5.0,AWW_escalation,186964.0,175146.0,390532.0
68,Switzerland,2.0,4.0,0.008,0.04,67.05104950342947,70559.0,36.5000008617204,258.0,42.0,703.0,47.0,2004.0,10.0,0.0,36.50000024907824,258.0,26.50000024907824,36.5000008617204,HARISS,36.5000008617204,HARISS,10.0,AWW_escalation,187451.0,174801.0,389842.0
69,Switzerland,2.0,4.0,0.008,0.04,74.91468567147585,311605.0,40.5000007056968,1122.0,42.0,1432.0,51.0,6095.0,42.0,1432.0,Inf,NaN,NaN,40.5000007056968,HARISS,40.5000007056968,HARISS,42.0,AWW_escalation,186763.0,175408.0,390352.0
70,Switzerland,2.0,4.0,0.008,0.04,72.63064824886574,187631.0,47.50000075978352,2399.0,23.0,8.0,46.0,1901.0,23.0,8.0,49.50000077981737,3430.0,26.50000077981737,23.0,AWW,46.0,AWW,23.0,AWW_escalation,187005.0,174929.0,390739.0
71,Switzerland,2.0,4.0,0.008,0.04,68.76780949406746,94368.0,57.50000055614779,11137.0,45.0,1118.0,46.0,1476.0,25.0,14.0,41.500000001198224,492.0,16.500000001198224,45.0,AWW,46.0,AWW,25.0,AWW_escalation,187098.0,175504.0,390434.0
72,Switzerland,2.0,4.0,0.008,0.04,70.82208938457082,134049.0,47.50000023609451,2411.0,31.0,65.0,40.0,608.0,4.0,0.0,47.50000023973975,2411.0,43.50000023973975,31.0,AWW,40.0,AWW,4.0,AWW_escalation,186748.0,175838.0,391237.0
73,Switzerland,2.0,4.0,0.008,0.04,79.62022246511195,660448.0,47.500000197684045,2597.0,37.0,469.0,42.0,1106.0,37.0,469.0,42.500000100700014,1129.0,5.500000100700014,37.0,AWW,42.0,AWW,37.0,AWW_escalation,186550.0,175596.0,390056.0
74,Switzerland,2.0,4.0,0.008,0.04,71.6596417485443,149283.0,57.50000006008037,10203.0,44.0,765.0,45.0,875.0,31.0,19.0,54.500000024194264,6055.0,23.500000024194264,44.0,AWW,45.0,AWW,31.0,AWW_escalation,188005.0,174771.0,391142.0
75,Switzerland,2.0,4.0,0.008,0.04,62.639842891179164,30899.0,57.50000041568937,12014.0,29.0,97.0,49.0,2482.0,24.0,49.0,55.500000257216506,8631.0,31.500000257216506,29.0,AWW,49.0,AWW,24.0,AWW_escalation,187665.0,175464.0,391359.0
76,Switzerland,2.0,4.0,0.008,0.04,57.56317111512438,9041.0,47.50000050866591,1166.0,36.0,99.0,49.0,1516.0,21.0,2.0,51.50000079764909,2498.0,30.500000797649093,36.0,AWW,47.50000050866591,HARISS,21.0,AWW_escalation,187231.0,175251.0,390678.0
77,Switzerland,2.0,4.0,0.008,0.04,62.1179557470649,29241.0,26.500000341313058,52.0,41.0,916.0,52.0,5678.0,29.0,143.0,54.500000470896204,7835.0,25.500000470896204,26.500000341313058,HARISS,26.500000341313058,HARISS,29.0,AWW_escalation,187247.0,174707.0,389978.0
78,Switzerland,2.0,4.0,0.008,0.04,69.95378185797048,120664.0,50.50000083647763,4482.0,21.0,2.0,50.0,4261.0,8.0,0.0,47.500000906079954,2648.0,39.500000906079954,21.0,AWW,50.0,AWW,8.0,AWW_escalation,187603.0,175686.0,390521.0
79,Switzerland,2.0,4.0,0.008,0.04,55.06108368806361,8786.0,47.500000244361736,2327.0,41.0,673.0,53.0,6283.0,41.0,673.0,49.5000001324049,3221.0,8.5000001324049,41.0,AWW,47.500000244361736,HARISS,41.0,AWW_escalation,187303.0,174752.0,391306.0
80,Switzerland,2.0,4.0,0.008,0.04,74.89834774100153,284598.0,54.50000012125585,6085.0,47.0,1636.0,48.0,1996.0,27.0,24.0,55.500000628146125,7142.0,28.500000628146125,47.0,AWW,48.0,AWW,27.0,AWW_escalation,187002.0,175305.0,389512.0
81,Switzerland,2.0,4.0,0.008,0.04,68.72438410352605,89364.0,54.500000030226715,5602.0,38.0,84.0,39.0,103.0,38.0,84.0,50.5000006285218,2319.0,12.500000628521803,38.0,AWW,39.0,AWW,38.0,AWW_escalation,187393.0,175122.0,390566.0
82,Switzerland,2.0,4.0,0.008,0.04,54.79271610321371,6137.0,43.50000035607525,852.0,42.0,717.0,43.0,811.0,42.0,717.0,48.50000091540072,1741.0,6.500000915400719,42.0,AWW,43.0,AWW,42.0,AWW_escalation,187833.0,174619.0,391635.0
83,Switzerland,2.0,4.0,0.008,0.04,72.61818443249237,196357.0,57.50000019520434,12536.0,43.0,681.0,49.0,2097.0,22.0,12.0,57.50000062630842,12536.0,35.50000062630842,43.0,AWW,49.0,AWW,22.0,AWW_escalation,187410.0,176305.0,390655.0
84,Switzerland,2.0,4.0,0.008,0.04,77.07750467797781,415356.0,47.50000014469514,1788.0,33.0,86.0,49.0,2379.0,10.0,0.0,42.500000546411314,689.0,32.500000546411314,33.0,AWW,47.50000014469514,HARISS,10.0,AWW_escalation,186792.0,174863.0,392382.0
85,Switzerland,2.0,4.0,0.008,0.04,65.66396757992929,55499.0,43.5000004429003,1010.0,29.0,27.0,48.0,2342.0,18.0,0.0,56.50000096369621,10658.0,38.50000096369621,29.0,AWW,43.5000004429003,HARISS,18.0,AWW_escalation,187360.0,175137.0,390996.0
86,Switzerland,2.0,4.0,0.008,0.04,59.434263341236566,15493.0,57.5000004486203,10558.0,30.0,21.0,39.0,241.0,20.0,0.0,51.50000004485129,3301.0,31.50000004485129,30.0,AWW,39.0,AWW,20.0,AWW_escalation,186410.0,175836.0,391073.0
87,Switzerland,2.0,4.0,0.008,0.04,67.80057885474973,83362.0,43.50000058796154,1220.0,32.0,214.0,51.0,4484.0,26.0,79.0,54.5000001736871,8005.0,28.5000001736871,32.0,AWW,43.50000058796154,HARISS,26.0,AWW_escalation,186949.0,175970.0,391387.0
88,Switzerland,2.0,4.0,0.008,0.04,62.776660769408714,34531.0,36.500000062541886,347.0,46.0,1444.0,47.0,1823.0,16.0,0.0,48.50000076586646,2257.0,32.50000076586646,36.500000062541886,HARISS,36.500000062541886,HARISS,16.0,AWW_escalation,187308.0,175340.0,390294.0
89,Switzerland,2.0,4.0,0.008,0.04,70.84256430564925,134568.0,47.50000003870273,1630.0,41.0,524.0,42.0,607.0,5.0,0.0,49.50000012723717,2219.0,44.50000012723717,41.0,AWW,42.0,AWW,5.0,AWW_escalation,187234.0,175488.0,389777.0
90,Switzerland,2.0,4.0,0.008,0.04,73.98400764296717,250181.0,40.5000008376924,862.0,45.0,1792.0,48.0,2828.0,41.0,1046.0,49.50000086073503,3656.0,8.500000860735028,40.5000008376924,HARISS,40.5000008376924,HARISS,41.0,AWW_escalation,186676.0,175205.0,390185.0
91,Switzerland,2.0,4.0,0.008,0.04,76.02555907932967,345756.0,50.50000059886734,3241.0,48.0,1950.0,49.0,2275.0,20.0,2.0,43.500000687156394,836.0,23.500000687156394,48.0,AWW,49.0,AWW,20.0,AWW_escalation,187384.0,175479.0,390879.0
92,Switzerland,2.0,4.0,0.008,0.04,71.82718881239211,173833.0,50.50000037101339,3536.0,38.0,239.0,46.0,1291.0,38.0,239.0,47.50000043376248,1866.0,9.50000043376248,38.0,AWW,46.0,AWW,38.0,AWW_escalation,186980.0,174567.0,389759.0
93,Switzerland,2.0,4.0,0.008,0.04,67.96503717420744,83236.0,57.50000002237429,12824.0,23.0,2.0,41.0,689.0,23.0,2.0,40.50000054534302,609.0,17.50000054534302,23.0,AWW,41.0,AWW,23.0,AWW_escalation,186627.0,175288.0,391567.0
94,Switzerland,2.0,4.0,0.008,0.04,70.14941782515264,124404.0,57.500000515048555,11929.0,39.0,271.0,47.0,1657.0,10.0,0.0,56.500000293221106,10132.0,46.500000293221106,39.0,AWW,47.0,AWW,10.0,AWW_escalation,186922.0,175006.0,391192.0
95,Switzerland,2.0,4.0,0.008,0.04,71.56094888135634,153817.0,57.500000619037756,12163.0,45.0,1218.0,30.0,33.0,27.0,14.0,48.50000072064023,2241.0,21.50000072064023,45.0,AWW,30.0,AWW,27.0,AWW_escalation,187584.0,175315.0,390659.0
96,Switzerland,2.0,4.0,0.008,0.04,78.04951253561647,499917.0,47.500000640262044,2065.0,28.0,38.0,35.0,207.0,25.0,20.0,49.50000050412987,2638.0,24.500000504129872,28.0,AWW,35.0,AWW,25.0,AWW_escalation,186735.0,175689.0,390378.0
97,Switzerland,2.0,4.0,0.008,0.04,55.05081928607149,9779.0,54.50000007473067,8403.0,39.0,790.0,48.0,2748.0,30.0,126.0,42.500000521638356,1112.0,12.500000521638356,39.0,AWW,48.0,AWW,30.0,AWW_escalation,187503.0,175569.0,390622.0
98,Switzerland,2.0,4.0,0.008,0.04,58.67156265849151,15349.0,50.50000080447438,3883.0,40.0,579.0,41.0,904.0,40.0,579.0,54.500000950039286,7788.0,14.500000950039286,40.0,AWW,41.0,AWW,40.0,AWW_escalation,187282.0,174751.0,389481.0
99,Switzerland,2.0,4.0,0.008,0.04,51.87568844979131,3532.0,50.50000015545993,2565.0,31.0,10.0,47.0,1249.0,31.0,10.0,51.500000524790465,3194.0,20.500000524790465,31.0,AWW,47.0,AWW,31.0,AWW_escalation,186496.0,175410.0,390776.0
100,Switzerland,2.0,4.0,0.008,0.04,74.80797456742025,286948.0,29.50000062430372,122.0,43.0,1089.0,46.0,2012.0,9.0,0.0,41.50000053960625,865.0,32.50000053960625,29.50000062430372,HARISS,29.50000062430372,HARISS,9.0,AWW_escalation,187326.0,175200.0,389916.0
101,Switzerland,2.0,4.0,0.008,0.04,79.31630642579955,615052.0,54.500000326077284,8233.0,30.0,150.0,4.0,0.0,3.0,0.0,47.500000605008886,2956.0,44.500000605008886,30.0,AWW,4.0,AWW,3.0,AWW_escalation,187026.0,175090.0,390640.0
102,Switzerland,2.0,4.0,0.008,0.04,68.97450940471444,94140.0,47.5000000347217,1725.0,35.0,42.0,49.0,2121.0,18.0,0.0,56.500000610069684,8549.0,38.500000610069684,35.0,AWW,47.5000000347217,HARISS,18.0,AWW_escalation,187001.0,175972.0,390508.0
103,Switzerland,2.0,4.0,0.008,0.04,45.752628249614496,1398.0,57.50000046103978,11551.0,40.0,360.0,46.0,1455.0,24.0,12.0,49.500000800123146,2538.0,25.500000800123146,40.0,AWW,45.752628249614496,ICU,24.0,AWW_escalation,187068.0,176423.0,390705.0
104,Switzerland,2.0,4.0,0.008,0.04,79.4229985845928,626264.0,43.50000097475031,1048.0,28.0,6.0,44.0,1259.0,18.0,0.0,47.50000091214861,2076.0,29.500000912148607,28.0,AWW,43.50000097475031,HARISS,18.0,AWW_escalation,186857.0,175178.0,390264.0
105,Switzerland,2.0,4.0,0.008,0.04,71.29973141869384,142478.0,54.50000025461367,6415.0,39.0,341.0,40.0,382.0,21.0,8.0,51.50000035030509,3566.0,30.500000350305093,39.0,AWW,40.0,AWW,21.0,AWW_escalation,187340.0,175585.0,390411.0
106,Switzerland,2.0,4.0,0.008,0.04,69.37096685270534,99803.0,54.5000002122092,6979.0,43.0,976.0,44.0,1084.0,4.0,0.0,50.50000009696491,3543.0,46.50000009696491,43.0,AWW,44.0,AWW,4.0,AWW_escalation,187502.0,175123.0,389332.0
107,Switzerland,2.0,4.0,0.008,0.04,71.5661495588124,153052.0,57.500000029224,13669.0,38.0,223.0,46.0,1727.0,24.0,5.0,49.50000000410311,3105.0,25.500000004103107,38.0,AWW,46.0,AWW,24.0,AWW_escalation,186712.0,175193.0,390819.0
108,Switzerland,2.0,4.0,0.008,0.04,63.26774065823117,32458.0,43.50000077645116,787.0,44.0,859.0,48.0,1699.0,24.0,2.0,43.50000059739803,787.0,19.500000597398028,43.50000077645116,HARISS,43.50000077645116,HARISS,24.0,AWW_escalation,186589.0,176012.0,389808.0
