Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"67.3: (65.5, 69.0)","67.2: (26.3, 106.5)","419.0: (411.9, 426.1)","418.9: (2.0, 1753.0)"
AWW (10%),8%,"57.2: (55.6, 58.9)","57.2: (29.0, 83.0)","179.0: (176.2, 181.8)","179.6: (2.0, 680.0)"
AWW (25%),8%,"52.4: (50.7, 54.0)","52.3: (24.0, 78.0)","73.3: (72.2, 74.4)","74.1: (0.0, 285.0)"
AWW (50%),8%,"45.2: (43.5, 46.9)","45.3: (17.0, 71.0)","19.1: (18.8, 19.4)","19.1: (0.0, 82.0)"
AWW (100%),8%,"41.7: (40.0, 43.4)","41.8: (13.0, 68.0)","9.8: (9.7, 10.0)","9.9: (0.0, 48.0)"
AWW (10%),16%,"53.6: (52.0, 55.3)","53.6: (25.0, 79.0)","92.0: (90.4, 93.5)","92.0: (0.0, 346.0)"
AWW (25%),16%,"45.2: (43.5, 46.9)","45.2: (17.0, 71.0)","19.1: (18.8, 19.4)","19.1: (0.0, 82.0)"
AWW (50%),16%,"41.7: (40.0, 43.4)","41.8: (13.0, 68.0)","9.8: (9.7, 10.0)","9.9: (0.0, 48.0)"
AWW (100%),16%,"41.5: (39.8, 43.2)","41.4: (13.0, 67.0)","9.5: (9.3, 9.7)","9.5: (0.0, 46.0)"
