Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"132.4: (127.4, 137.4)","132.5: (42.9, 212.4)","29.3: (28.8, 29.9)","29.3: (0.0, 95.0)"
AWW (10%),8%,"137.3: (132.2, 142.4)","137.3: (51.0, 213.0)","34.3: (33.4, 35.1)","34.3: (0.0, 98.0)"
AWW (25%),8%,"133.5: (128.4, 138.5)","133.4: (48.0, 211.0)","29.1: (28.5, 29.7)","29.1: (0.0, 91.0)"
AWW (50%),8%,"117.5: (112.6, 122.5)","117.5: (32.0, 195.0)","13.1: (12.9, 13.3)","13.1: (0.0, 57.0)"
AWW (100%),8%,"106.6: (101.7, 111.5)","106.6: (22.0, 184.0)","6.9: (6.8, 7.0)","6.9: (0.0, 35.0)"
AWW (10%),16%,"134.8: (129.7, 139.8)","134.8: (48.0, 211.0)","30.7: (30.1, 31.4)","30.6: (0.0, 93.0)"
AWW (25%),16%,"117.5: (112.6, 122.5)","117.5: (31.0, 195.0)","13.1: (12.9, 13.3)","13.1: (0.0, 57.0)"
AWW (50%),16%,"106.6: (101.7, 111.5)","106.7: (22.0, 184.0)","6.9: (6.8, 7.0)","6.9: (0.0, 35.0)"
AWW (100%),16%,"106.0: (101.1, 110.9)","106.1: (22.0, 184.0)","6.7: (6.6, 6.8)","6.7: (0.0, 34.0)"
