Method,p_det,Mean Detection Time (95% CI),Bootstrap (95% PI),EW Local Cases (95% CI),Bootstrap (95% PI)
ICU, ,"66.5: (65.2, 67.8)","66.5: (25.7, 96.6)","3039.3: (2992.4, 3086.3)","3051.5: (5.0, 11109.0)"
AWW (10%),8%,"45.4: (44.2, 46.7)","45.4: (24.0, 65.0)","294.5: (289.7, 299.3)","294.7: (4.0, 1092.0)"
AWW (25%),8%,"41.8: (40.5, 43.1)","41.8: (20.0, 61.0)","121.9: (119.9, 123.9)","122.1: (1.0, 468.0)"
AWW (50%),8%,"36.6: (35.3, 37.9)","36.6: (15.0, 56.0)","32.7: (32.2, 33.3)","32.9: (0.0, 133.0)"
AWW (100%),8%,"33.9: (32.6, 35.2)","33.9: (12.0, 53.0)","16.5: (16.3, 16.8)","16.7: (0.0, 77.0)"
AWW (10%),16%,"42.7: (41.4, 44.0)","42.7: (21.0, 62.0)","152.4: (149.9, 154.9)","153.6: (1.0, 580.0)"
AWW (25%),16%,"36.6: (35.3, 37.9)","36.6: (15.0, 56.0)","32.7: (32.2, 33.3)","32.6: (0.0, 134.0)"
AWW (50%),16%,"33.9: (32.6, 35.2)","33.9: (12.0, 53.0)","16.5: (16.3, 16.8)","16.5: (0.0, 76.0)"
AWW (100%),16%,"33.8: (32.5, 35.1)","33.8: (12.0, 53.0)","16.1: (15.8, 16.4)","16.2: (0.0, 74.0)"
