sample_id,times,detectable_imports,transmission_imports,local_cases,arrival_time,aww_detection_time,icu_detection_time
1,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 4, 2, 0, 4, 5, 4, 9, 17, 10, 10, 14, 13, 14, 28, 22, 19, 42, 42, 54, 49, 60, 74, 89, 103, 118, 167, 171, 209]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 1, 2, 2, 0, 1, 4, 1, 5, 5, 2, 6, 6, 8, 8, 5, 12, 12, 13, 29, 20, 19, 25, 38, 50, 59, 62, 65, 83, 98, 112, 142, 168, 220, 234, 282]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 9, 11, 14, 18, 19, 21, 22, 27, 29, 39, 45, 53, 57, 64, 84, 99, 112, 126, 143, 162, 207, 255, 303, 341, 415, 503, 610, 751, 894, 1035, 1222]",9.0,49.0,63.828080093210744
2,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 2, 2, 0, 2, 1, 7, 4, 0, 8, 6, 4, 7, 1, 11, 8, 9, 15, 15, 17, 19, 24, 37, 31, 43, 51, 73, 81, 94, 125, 107, 178, 163, 215]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 3, 1, 3, 1, 3, 1, 4, 4, 4, 1, 6, 4, 4, 5, 8, 13, 8, 16, 21, 22, 28, 40, 42, 42, 50, 54, 71, 93, 97, 121, 149, 184, 206, 239, 284]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 4, 9, 10, 10, 12, 18, 27, 33, 36, 39, 42, 60, 70, 92, 117, 137, 160, 193, 238, 307, 378, 455, 543, 625, 734, 894, 1086, 1295]",14.0,37.0,48.87027929000402
3,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 3, 2, 4, 2, 5, 3, 3, 5, 8, 7, 10, 9, 19, 17, 16, 23, 27, 37, 27, 40, 53, 66, 95, 92, 103, 118, 156, 155, 210]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 3, 3, 1, 0, 5, 3, 6, 3, 6, 10, 7, 11, 12, 13, 23, 21, 25, 28, 37, 31, 45, 45, 73, 71, 105, 101, 122, 145, 185, 215, 259, 293]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 5, 5, 7, 12, 16, 20, 23, 29, 37, 46, 55, 73, 85, 108, 128, 151, 184, 227, 275, 321, 388, 462, 525, 637, 777, 938, 1138, 1348]",11.0,38.0,45.82657051482801
4,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 4, 2, 5, 9, 5, 3, 5, 6, 10, 11, 4, 15, 13, 22, 21, 21, 33, 37, 63, 50, 63, 81, 88, 104, 125, 156, 175, 218]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 3, 3, 1, 1, 0, 3, 4, 5, 6, 11, 8, 4, 9, 8, 20, 15, 30, 29, 42, 38, 51, 47, 63, 78, 91, 98, 121, 144, 184, 214, 249, 259]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 5, 8, 14, 16, 18, 22, 26, 38, 47, 65, 84, 97, 108, 135, 163, 194, 234, 273, 315, 373, 461, 578, 679, 806, 944, 1137, 1357]",16.0,46.0,63.92386216966993
5,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 5, 2, 2, 2, 3, 4, 6, 5, 6, 5, 8, 16, 12, 20, 19, 22, 28, 22, 49, 53, 48, 52, 67, 88, 121, 136, 141, 191, 214]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 2, 1, 4, 0, 5, 5, 5, 11, 3, 9, 11, 9, 19, 14, 17, 18, 16, 31, 41, 46, 47, 55, 77, 85, 113, 121, 156, 169, 229, 232, 315]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 3, 7, 9, 11, 12, 12, 15, 19, 24, 28, 33, 38, 45, 63, 73, 86, 100, 124, 149, 176, 209, 245, 293, 357, 411, 485, 592, 702, 849, 1015, 1211]",20.0,39.0,62.33427920228865
6,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 0, 1, 0, 2, 1, 7, 6, 3, 5, 3, 3, 6, 5, 7, 7, 19, 16, 9, 22, 21, 28, 30, 47, 50, 61, 83, 76, 82, 107, 125, 161, 179, 223]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2, 4, 5, 6, 4, 6, 4, 5, 11, 7, 13, 14, 14, 26, 19, 17, 28, 39, 47, 51, 51, 67, 90, 123, 131, 155, 212, 227, 262, 297]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 3, 3, 6, 9, 9, 9, 14, 19, 24, 28, 33, 38, 47, 60, 71, 82, 97, 114, 142, 169, 200, 245, 283, 327, 379, 444, 513, 623, 731, 872, 1058, 1250, 1478]",12.0,45.0,46.028978450966925
7,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 1, 2, 3, 1, 2, 4, 1, 3, 4, 7, 8, 6, 10, 10, 15, 14, 20, 19, 27, 31, 34, 50, 64, 54, 80, 103, 100, 138, 149, 167, 218]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 0, 0, 2, 2, 1, 2, 6, 5, 8, 7, 10, 11, 9, 9, 18, 22, 26, 30, 26, 41, 42, 52, 59, 81, 80, 106, 129, 156, 177, 220, 240, 290]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 4, 7, 8, 8, 10, 12, 19, 24, 31, 36, 44, 57, 69, 90, 112, 136, 173, 201, 247, 304, 362, 445, 537, 674, 813, 991, 1199]",12.0,46.0,57.58903011087055
8,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 3, 3, 2, 1, 2, 2, 3, 3, 2, 9, 6, 7, 4, 4, 7, 13, 20, 27, 25, 25, 39, 30, 50, 58, 61, 94, 89, 93, 127, 152, 174, 237]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 3, 2, 5, 6, 7, 7, 9, 6, 11, 8, 16, 12, 20, 24, 37, 26, 49, 37, 68, 60, 77, 90, 95, 120, 129, 184, 207, 244, 316]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 4, 4, 6, 11, 16, 21, 31, 47, 65, 73, 80, 96, 122, 162, 202, 232, 262, 299, 374, 449, 526, 626, 721, 829, 1005, 1171, 1370]",16.0,39.0,68.97710865612486
9,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 2, 4, 1, 6, 1, 5, 1, 4, 7, 14, 9, 10, 11, 14, 14, 22, 29, 26, 35, 46, 56, 62, 62, 90, 95, 115, 130, 131, 208, 203]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 2, 3, 1, 2, 4, 2, 2, 2, 4, 3, 3, 8, 8, 4, 10, 16, 8, 13, 15, 27, 20, 33, 44, 40, 52, 65, 71, 87, 102, 120, 142, 182, 223, 238, 262]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 5, 5, 5, 7, 12, 18, 23, 24, 31, 34, 41, 59, 72, 75, 79, 89, 109, 125, 151, 178, 196, 225, 263, 307, 380, 439, 516, 592, 681, 814, 1011, 1192, 1382]",0.0,38.0,56.62743661616373
10,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 2, 3, 1, 2, 4, 5, 0, 0, 5, 7, 10, 9, 10, 13, 15, 12, 20, 30, 25, 28, 33, 52, 62, 62, 76, 83, 94, 148, 166, 199, 224]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 0, 1, 3, 0, 2, 1, 1, 1, 3, 4, 1, 7, 8, 3, 5, 7, 6, 9, 10, 15, 9, 24, 22, 24, 27, 51, 36, 56, 64, 71, 111, 113, 126, 141, 187, 218, 242, 296]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 5, 7, 8, 8, 13, 20, 23, 27, 32, 40, 46, 58, 68, 78, 82, 96, 120, 153, 178, 205, 231, 263, 316, 367, 437, 528, 625, 739, 877, 1029, 1213, 1449]",7.0,22.0,69.78949433979555
