R0,gen_time,n_countries,ICU_time_simple_mean,ICU_time_simple_ci_lower,ICU_time_simple_ci_upper,ICU_time_hierarchical_mean,ICU_time_hierarchical_pi_lower,ICU_time_hierarchical_pi_upper,ICU_cases_simple_mean,ICU_cases_simple_ci_lower,ICU_cases_simple_ci_upper,ICU_cases_hierarchical_mean,ICU_cases_hierarchical_pi_lower,ICU_cases_hierarchical_pi_upper,WW_008_10pct_time_simple_mean,WW_008_10pct_time_simple_ci_lower,WW_008_10pct_time_simple_ci_upper,WW_008_10pct_time_hierarchical_mean,WW_008_10pct_time_hierarchical_pi_lower,WW_008_10pct_time_hierarchical_pi_upper,WW_008_10pct_cases_simple_mean,WW_008_10pct_cases_simple_ci_lower,WW_008_10pct_cases_simple_ci_upper,WW_008_10pct_cases_hierarchical_mean,WW_008_10pct_cases_hierarchical_pi_lower,WW_008_10pct_cases_hierarchical_pi_upper,WW_008_25pct_time_simple_mean,WW_008_25pct_time_simple_ci_lower,WW_008_25pct_time_simple_ci_upper,WW_008_25pct_time_hierarchical_mean,WW_008_25pct_time_hierarchical_pi_lower,WW_008_25pct_time_hierarchical_pi_upper,WW_008_25pct_cases_simple_mean,WW_008_25pct_cases_simple_ci_lower,WW_008_25pct_cases_simple_ci_upper,WW_008_25pct_cases_hierarchical_mean,WW_008_25pct_cases_hierarchical_pi_lower,WW_008_25pct_cases_hierarchical_pi_upper,WW_008_50pct_time_simple_mean,WW_008_50pct_time_simple_ci_lower,WW_008_50pct_time_simple_ci_upper,WW_008_50pct_time_hierarchical_mean,WW_008_50pct_time_hierarchical_pi_lower,WW_008_50pct_time_hierarchical_pi_upper,WW_008_50pct_cases_simple_mean,WW_008_50pct_cases_simple_ci_lower,WW_008_50pct_cases_simple_ci_upper,WW_008_50pct_cases_hierarchical_mean,WW_008_50pct_cases_hierarchical_pi_lower,WW_008_50pct_cases_hierarchical_pi_upper,WW_008_100pct_time_simple_mean,WW_008_100pct_time_simple_ci_lower,WW_008_100pct_time_simple_ci_upper,WW_008_100pct_time_hierarchical_mean,WW_008_100pct_time_hierarchical_pi_lower,WW_008_100pct_time_hierarchical_pi_upper,WW_008_100pct_cases_simple_mean,WW_008_100pct_cases_simple_ci_lower,WW_008_100pct_cases_simple_ci_upper,WW_008_100pct_cases_hierarchical_mean,WW_008_100pct_cases_hierarchical_pi_lower,WW_008_100pct_cases_hierarchical_pi_upper,WW_016_10pct_time_simple_mean,WW_016_10pct_time_simple_ci_lower,WW_016_10pct_time_simple_ci_upper,WW_016_10pct_time_hierarchical_mean,WW_016_10pct_time_hierarchical_pi_lower,WW_016_10pct_time_hierarchical_pi_upper,WW_016_10pct_cases_simple_mean,WW_016_10pct_cases_simple_ci_lower,WW_016_10pct_cases_simple_ci_upper,WW_016_10pct_cases_hierarchical_mean,WW_016_10pct_cases_hierarchical_pi_lower,WW_016_10pct_cases_hierarchical_pi_upper,WW_016_25pct_time_simple_mean,WW_016_25pct_time_simple_ci_lower,WW_016_25pct_time_simple_ci_upper,WW_016_25pct_time_hierarchical_mean,WW_016_25pct_time_hierarchical_pi_lower,WW_016_25pct_time_hierarchical_pi_upper,WW_016_25pct_cases_simple_mean,WW_016_25pct_cases_simple_ci_lower,WW_016_25pct_cases_simple_ci_upper,WW_016_25pct_cases_hierarchical_mean,WW_016_25pct_cases_hierarchical_pi_lower,WW_016_25pct_cases_hierarchical_pi_upper,WW_016_50pct_time_simple_mean,WW_016_50pct_time_simple_ci_lower,WW_016_50pct_time_simple_ci_upper,WW_016_50pct_time_hierarchical_mean,WW_016_50pct_time_hierarchical_pi_lower,WW_016_50pct_time_hierarchical_pi_upper,WW_016_50pct_cases_simple_mean,WW_016_50pct_cases_simple_ci_lower,WW_016_50pct_cases_simple_ci_upper,WW_016_50pct_cases_hierarchical_mean,WW_016_50pct_cases_hierarchical_pi_lower,WW_016_50pct_cases_hierarchical_pi_upper,WW_016_100pct_time_simple_mean,WW_016_100pct_time_simple_ci_lower,WW_016_100pct_time_simple_ci_upper,WW_016_100pct_time_hierarchical_mean,WW_016_100pct_time_hierarchical_pi_lower,WW_016_100pct_time_hierarchical_pi_upper,WW_016_100pct_cases_simple_mean,WW_016_100pct_cases_simple_ci_lower,WW_016_100pct_cases_simple_ci_upper,WW_016_100pct_cases_hierarchical_mean,WW_016_100pct_cases_hierarchical_pi_lower,WW_016_100pct_cases_hierarchical_pi_upper
1.5,4.0,222,83.8213220660837,80.93688244828756,86.70576168387983,83.83200391286597,31.048268213312483,134.21453834324893,78.04473517473517,76.63171202549725,79.45775832397308,77.72669,1.0,354.0,88.84749823772844,86.07457787960885,91.62041859584804,88.85949,40.0,132.0,123.59410845356778,121.6630635922459,125.52515331488966,123.63243,1.0,462.0,80.4869167869168,77.68201818435887,83.29181538947472,80.38382,33.0,124.0,49.956467181467175,49.12529921073865,50.7876351521957,50.10107,0.0,197.0,67.87565196775724,65.04667751462385,70.70462642089062,67.80578,20.0,112.0,12.639404931247036,12.409972061400873,12.868837801093198,12.63865,0.0,58.0,62.0494044044044,59.22348612637833,64.87532268243046,62.07204,16.0,106.0,6.516266266266265,6.393286819631715,6.639245712900815,6.50501,0.0,34.0,82.49357842691175,79.6995862456288,85.28757060819471,82.55116,34.0,127.0,62.87701095034428,61.910217479561666,63.84380442112689,63.04756,0.0,247.0,67.87565196775724,65.04667751462385,70.70462642089062,67.85839,20.0,111.0,12.639404931247036,12.409972061400873,12.868837801093198,12.65466,0.0,57.0,62.0494044044044,59.22348612637833,64.87532268243046,62.19247,16.0,106.0,6.516266266266265,6.393286819631715,6.639245712900815,6.48358,0.0,34.0,61.68574136636637,58.8481428306747,64.52333990205804,61.84351,16.0,106.0,6.264525150150152,6.141635489008963,6.3874148112913405,6.30415,0.0,33.0
1.5,6.0,221,110.82659034069452,106.91590423169914,114.7372764496899,110.56738456657214,38.783120016366745,175.31198870954358,48.37439300609893,47.509288571947174,49.23949744025068,48.49703,1.0,169.0,116.9946041947919,113.08223412880119,120.90697426078262,117.08218,51.0,177.0,64.82786840290566,63.44802973975544,66.20770706605589,64.96131,0.0,183.0,110.30739746717644,106.44124740466279,114.1735475296901,110.28642,42.0,171.0,44.16816997576803,43.51799718427921,44.81834276725685,43.85219,0.0,150.0,93.3687663970017,89.50155997438013,97.23597281962329,93.16587,26.0,155.0,12.892187942776177,12.656078409477459,13.128297476074895,12.8826,0.0,60.0,84.86316742081449,81.01403047879519,88.71230436283379,84.91193,19.0,146.0,6.6679185520362,6.517560555861932,6.818276548210468,6.65173,0.0,34.0,112.3827073223709,108.47413666832497,116.29127797641684,112.28856,44.0,173.0,50.23014910881951,49.45179294272328,51.00850527491574,50.60296,0.0,161.0,93.3687663970017,89.50155997438013,97.23597281962329,93.23102,26.0,155.0,12.892187942776177,12.656078409477459,13.128297476074895,12.8758,0.0,59.0,84.86316742081449,81.01403047879519,88.71230436283379,84.88969,19.0,146.0,6.6679185520362,6.517560555861932,6.818276548210468,6.65687,0.0,34.0,84.12588235294118,80.29029399670732,87.96147070917503,84.09532,18.0,145.0,6.290180995475113,6.146730650288735,6.433631340661492,6.31983,0.0,34.0
1.5,8.0,221,134.59335307472662,129.65883975858605,139.5278663908672,134.62601649275248,48.4861838580045,214.0049259404335,31.61082793879318,31.049018402335594,32.17263747525077,31.75264,0.0,99.0,137.37563625817188,132.32912757304223,142.42214494330153,137.29819,52.0,213.0,34.11777926273705,33.37758846447631,34.85797006099779,34.04497,0.0,97.0,133.95084763155918,128.9296977410326,138.97199752208576,133.88342,47.0,210.0,29.660276545118673,29.111129486214576,30.20942360402277,29.79208,0.0,94.0,117.56264050870182,112.66363119483508,122.46164982256856,117.78161,31.0,195.0,13.248311456697511,13.028274404200088,13.468348509194934,13.25031,0.0,60.0,106.51158553864435,101.64353931725243,111.37963176003628,106.42212,23.0,184.0,6.848109145756204,6.699499743880175,6.996718547632234,6.84196,0.0,35.0,134.96517925438118,129.93168316041027,139.9986753483521,135.06676,49.0,211.0,31.09970676110718,30.533426657781966,31.66598686443239,31.12147,0.0,94.0,117.56264050870182,112.66363119483508,122.46164982256856,117.57562,31.0,195.0,13.248311456697511,13.028274404200088,13.468348509194934,13.26855,0.0,59.0,106.51158553864435,101.64353931725243,111.37963176003628,106.56863,23.0,184.0,6.848109145756204,6.699499743880175,6.996718547632234,6.77376,0.0,35.0,105.7137556561086,100.84982020521221,110.577691107005,105.77,23.0,184.0,6.53185520361991,6.390283121923969,6.67342728531585,6.55052,0.0,35.0
1.5,10.0,210,149.96914027846515,144.36043029547224,155.57785026145805,150.02681907816543,51.51104846583929,234.46322736321181,26.981027124000537,26.52556291842564,27.436491329575436,26.98414,0.0,80.0,150.78638494010306,144.9332569485122,156.63951293169393,150.7091,50.0,233.0,26.93781844978957,26.178386355765543,27.6972505438136,26.95295,0.0,80.0,148.35348852236635,142.61381927923236,154.09315776550034,148.29896,49.0,230.0,24.46851313034706,23.952437261786,24.98458899890812,24.56512,0.0,77.0,135.49226894020066,129.8152469027343,141.16929097766703,135.52574,34.0,220.0,15.1835590015574,14.94311873151769,15.423999271597111,15.15699,0.0,60.0,123.52787286547813,117.95296906515232,129.10277666580396,123.48282,25.0,207.0,8.888213450376952,8.717329964947572,9.059096935806332,8.98366,0.0,43.0,149.4874512927043,143.71337918745212,155.26152339795647,149.49664,49.0,231.0,25.463053683354694,24.945132616956254,25.980974749753134,25.35439,0.0,76.0,135.49226894020066,129.8152469027343,141.16929097766703,135.5415,35.0,219.0,15.1835590015574,14.94311873151769,15.423999271597111,15.15004,0.0,60.0,123.52787286547813,117.95296906515232,129.10277666580396,123.47345,25.0,208.0,8.888213450376952,8.717329964947572,9.059096935806332,8.896,0.0,43.0,122.30624959998428,116.71453048281133,127.89796871715724,122.42708,24.0,208.0,8.449203025149455,8.27361532971589,8.62479072058302,8.48778,0.0,42.0
2.0,4.0,222,68.76337257551772,67.04969645400816,70.47704869702729,68.88535112769503,28.09444605441382,107.4163619339186,704.1392988640814,691.8588918723243,716.4197058558385,701.66002,3.0,2881.0,57.20738738738739,55.55609743886162,58.858677335913164,57.16401,29.0,83.0,200.70597812097813,197.29840625487245,204.11354998708381,201.7731,2.0,772.0,52.40269144144144,50.73372075926341,54.07166212361947,52.47496,24.0,78.0,80.86224099099098,79.49869346290625,82.22578851907572,81.37432,0.0,316.0,45.284584584584586,43.59710380603761,46.97206536313156,45.24827,17.0,71.0,20.676468134801468,20.321406263672607,21.03153000593033,20.55771,0.0,91.0,41.75064926995962,40.054190952042354,43.44710758787688,41.63265,13.0,68.0,10.55360412136274,10.33809702256291,10.769111220162571,10.51617,0.0,53.0,53.547430473952225,51.87991397880356,55.21494696910089,53.53882,25.0,79.0,99.73868585977281,98.08451808665762,101.392853632888,99.6584,0.0,382.0,45.284584584584586,43.59710380603761,46.97206536313156,45.28299,17.0,71.0,20.676468134801468,20.321406263672607,21.03153000593033,20.50518,0.0,91.0,41.75064926995962,40.054190952042354,43.44710758787688,41.89176,13.0,68.0,10.55360412136274,10.33809702256291,10.769111220162571,10.55915,0.0,53.0,41.54889434889435,39.856095206419106,43.241693491369595,41.56545,14.0,68.0,10.07129402129402,9.888361193308118,10.254226849279924,10.06151,0.0,50.0
2.0,6.0,222,84.2494271282302,81.87132826085734,86.62752599560305,84.26168732872338,34.323661610576394,130.53649104455218,353.0133709482679,346.7746161510585,359.25212574547726,351.67023,1.0,1369.0,77.8875546975547,75.62764411507538,80.14746528003403,77.97177,38.0,113.02499999999418,180.66693693693693,177.5445628643029,183.78931100957098,180.1056,1.0,695.0,71.10105458399576,68.79591036119298,73.40619880679854,71.12991,32.0,107.0,72.8030418653948,71.51597503914054,74.09010869164906,73.03904,0.0,286.0,60.97352908464019,58.63161146620688,63.315446703073505,61.01446,21.0,97.0,18.38269491713936,18.053127129248708,18.712262705030014,18.39537,0.0,84.0,55.93451661338758,53.59708189348115,58.271951333294005,55.93543,16.0,92.0,9.249022570958056,9.047465117931587,9.450580023984525,9.2265,0.0,47.0,72.72878378378378,70.4089168517801,75.04865071578746,72.75784,33.0,109.0,89.50328828828827,87.93236827784386,91.07420829873269,89.25318,0.0,351.0,60.97352908464019,58.63161146620688,63.315446703073505,61.00607,21.0,97.0,18.38269491713936,18.053127129248708,18.712262705030014,18.37534,0.0,83.0,55.93451661338758,53.59708189348115,58.271951333294005,55.98591,16.0,92.0,9.249022570958056,9.047465117931587,9.450580023984525,9.22534,0.0,47.0,55.7448768155911,53.391044534636585,58.09870909654561,55.77358,17.0,92.0,8.91862107004964,8.72413839091718,9.113103749182102,8.89904,0.0,45.0
2.0,8.0,222,99.02533435554656,96.03167412749436,102.01899458359877,99.15245481408917,41.170195554853336,153.146892254062,198.94022522522528,195.23598475708604,202.6444656933645,198.27629,1.0,670.0,96.77972744245926,93.91690886040993,99.64254602450859,96.82956,47.0,142.0,157.90540229105295,155.37528554936875,160.43551903273715,158.44126,1.0,564.0,88.31133554008554,85.41085357987767,91.2118175002934,88.3154,39.0,134.0,66.77211438711439,65.51082820814939,68.03340056607938,66.92404,0.0,268.0,75.32434808434807,72.39280880911694,78.2558873595792,75.46895,25.0,120.0,16.80076032076032,16.48054633577142,17.120974305749222,16.64413,0.0,77.0,69.22693693693694,66.28450228132196,72.16937159255191,69.2974,20.0,115.0,8.571351351351352,8.389859898683866,8.752842804018837,8.55333,0.0,43.0,90.4533517669608,87.54952094421934,93.35718258970225,90.39996,41.0,136.0,83.38293582812379,81.8679845294672,84.89788712678039,83.35563,0.0,328.0,75.32434808434807,72.39280880911694,78.2558873595792,75.37269,25.0,120.0,16.80076032076032,16.48054633577142,17.120974305749222,16.85322,0.0,78.0,69.22693693693694,66.28450228132196,72.16937159255191,69.31354,20.0,115.0,8.571351351351352,8.389859898683866,8.752842804018837,8.60116,0.0,43.0,68.57518018018017,65.63850993575917,71.51185042460116,68.5168,19.0,114.0,7.997477477477478,7.826498467778864,8.168456487176092,8.00318,0.0,42.0
2.0,10.0,222,111.43118891493138,107.86725281475576,114.995125015107,111.26216226458126,45.066741783548885,172.92818814992958,136.84004504504503,134.1491012825026,139.53098880758745,137.16081,1.0,421.0,112.63049275552305,109.11089549430261,116.15009001674349,112.69691,53.0,166.0,138.096079038867,135.89607171652952,140.2960863612045,138.13418,1.0,391.0,104.71406541196117,101.2408611300199,108.18726969390245,104.78173,45.0,159.0,77.38795829234493,76.21936171935732,78.55655486533254,76.77245,0.0,288.0,89.1920150763008,85.66799337859574,92.71603677400587,89.31514,29.0,143.0,20.085233498804932,19.76499025656994,20.405476741039923,20.03366,0.0,86.0,81.53411638911639,78.00524109594782,85.06299168228496,81.43118,21.0,136.0,10.260256165256166,10.047734731385123,10.472777599127209,10.29525,0.0,51.0,106.97912250536876,103.49683626087806,110.46140874985947,106.97264,47.0,161.0,91.71159460200468,90.44644720476374,92.97674199924562,91.87874,0.0,319.0,89.1920150763008,85.66799337859574,92.71603677400587,89.21297,29.975000000000364,144.0,20.085233498804932,19.76499025656994,20.405476741039923,20.04109,0.0,85.0,81.53411638911639,78.00524109594782,85.06299168228496,81.48477,22.0,135.0,10.260256165256166,10.047734731385123,10.472777599127209,10.24806,0.0,51.0,80.90882882882882,77.37608940979261,84.44156824786502,80.92996,21.0,136.0,9.62608108108108,9.445623541861059,9.806538620301103,9.66041,0.0,48.0
2.5,4.0,220,67.46391140272793,66.17207827940462,68.75574452605125,67.46654615328285,29.44609948673496,96.89130644768616,4903.2770148423015,4823.920221722686,4982.633807961917,4916.41366,7.0,17449.0,45.438818181818185,44.188056420323264,46.689579943313106,45.45072,24.0,65.0,282.66197727272726,277.7643492713921,287.5596052740624,282.38473,3.0,1062.0,41.86001136363636,40.599808947808626,43.120213779464095,41.9117,21.0,61.0,112.22229545454545,110.25918566967785,114.18540523941304,112.10531,0.0,438.0,36.570062862669246,35.29262293951789,37.8475027858206,36.56447,15.0,56.0,28.292129593810444,27.77524734216143,28.80901184545946,28.23539,0.0,121.0,33.95883116883117,32.674638767722996,35.24302356993934,33.90563,13.0,54.0,14.11083766233766,13.8363804028908,14.38529492178452,14.17919,0.0,67.0,42.68322377622378,41.421407195718054,43.9450403567295,42.68542,21.0,62.0,139.4702797202797,137.1318752075309,141.80868423302852,140.0666,0.0,545.0,36.570062862669246,35.29262293951789,37.8475027858206,36.59267,15.0,56.0,28.292129593810444,27.77524734216143,28.80901184545946,28.03834,0.0,120.0,33.95883116883117,32.674638767722996,35.24302356993934,33.9114,13.0,54.0,14.11083766233766,13.8363804028908,14.38529492178452,14.05399,0.0,67.0,33.83681818181818,32.557774991999345,35.11586137163702,33.84615,13.0,53.0,13.838954545454545,13.564263910311894,14.113645180597196,13.95161,0.0,67.0
2.5,6.0,222,79.30554672249436,77.5345347357936,81.07655870919511,79.30738623665742,34.69155665775324,115.51042361538332,1669.3379188279184,1644.07062421379,1694.6052134420468,1674.88029,3.0,5454.0,60.78348484848485,59.078759511135225,62.48821018583447,60.72526,31.0,87.0,224.73009828009828,220.6745425475992,228.78565401259735,224.16101,2.0,856.0,55.69500871839581,53.97228572771181,57.41773170907982,55.65957,26.0,83.0,88.98797297297298,87.3677595127335,90.60818643321247,88.85514,0.0,349.0,48.25650337837837,46.497742754726836,50.0152640020299,48.27264,18.0,75.0,22.14754786036036,21.72023094456072,22.57486477616,22.04789,0.0,99.0,44.794530175336625,43.04161168146289,46.54744866921036,44.77681,15.0,71.0,11.354942361716557,11.11420771451838,11.595677008914732,11.39191,0.0,56.0,57.03931306306307,55.32663425996713,58.75199186615901,57.01279,27.0,83.0,112.6248536036036,110.69533995990837,114.55436724729883,112.0683,0.0,436.0,48.25650337837837,46.497742754726836,50.0152640020299,48.2981,18.0,75.0,22.14754786036036,21.72023094456072,22.57486477616,22.1701,0.0,99.0,44.794530175336625,43.04161168146289,46.54744866921036,44.7497,15.0,72.0,11.354942361716557,11.11420771451838,11.595677008914732,11.47604,0.0,57.0,44.44230513121817,42.68983226064059,46.19477800179575,44.43144,15.0,71.0,10.77745005875441,10.557038531232939,10.99786158627588,10.69832,0.0,53.0
